Model,Accuracy,F1_binary,F1_macro,AUC,Precision_UP,Recall_UP,TP,FP,TN,FN,CV_Acc,Time_s
XGB,0.5261904761904762,0.3722397476340693,0.4958713078514515,0.5489410190707272,0.5462962962962963,0.2822966507177033,118,98,324,300,0.5487031700288185,13.9
GBM,0.5107142857142857,0.37059724349157736,0.4852012507623418,0.5485555228009705,0.5148936170212766,0.2894736842105263,121,114,308,297,0.5481268011527378,88.0
LGBM,0.5202380952380953,0.3447154471544715,0.48315584564296343,0.5477278396335519,0.5380710659898477,0.2535885167464115,106,91,331,312,0.5492795389048991,3.9
