Model,Accuracy,F1_binary,F1_macro,AUC,Precision_UP,Recall_UP,TP,FP,TN,FN,CV_Acc,Time_s,Selected_Case,Ranking,N_Features
LGBM,0.525,0.36565977742448325,0.4930106689215661,0.5514183995101929,0.5450236966824644,0.2751196172248804,115,96,326,303,0.5527377521613832,173.6,MI_TOP_25,mi,25
GBM,0.5178571428571429,0.37788018433179726,0.4921470892504467,0.551123608245085,0.5278969957081545,0.2942583732057416,123,110,312,295,0.5487031700288185,67.9,MI_TOP_25,mi,25
XGB,0.5083333333333333,0.3636363636363636,0.48152720218675604,0.5474954080591397,0.5108225108225108,0.2822966507177033,118,113,309,300,0.5498559077809798,19.0,MI_TOP_25,mi,25
