Set,N,LGBM_CV,XGB_CV,GBM_CV,best_acc
ALL_27,27,0.5446685878962535,0.5435158501440922,0.5337175792507205,0.5446685878962535
CLUSTER_20,20,0.5389048991354467,0.5279538904899135,0.5221902017291067,0.5389048991354467
CLUSTER_POS_10,10,0.5204610951008646,0.5342939481268012,0.5256484149855907,0.5342939481268012
PERM_TOP_10,10,0.523342939481268,0.5331412103746398,0.5170028818443804,0.5331412103746398
PERM_TOP_15,15,0.5244956772334295,0.5273775216138328,0.5129682997118156,0.5273775216138328
PERM_TOP_20,20,0.5348703170028819,0.529106628242075,0.5279538904899136,0.5348703170028819
PERM_TOP_25,25,0.5354466858789626,0.5377521613832853,0.5273775216138328,0.5377521613832853
