feature,perm_mean,perm_std
oil_return,0.02074927953890495,0.0129394491761635
oil_return_lag1,0.010951008645533177,0.012280850577903468
oil_return_lag2,0.009221902017291117,0.020733263110783825
gdelt_volume_lag1_log1p,0.0063400576368876525,0.006153935591948903
fatalities_log1p,0.0051873198847262715,0.009713140948906488
month_sin,0.0034582132564841884,0.0028236193000382545
sp500_return,0.002305475504322829,0.007818247819164565
gdelt_goldstein_7d,0.002305475504322807,0.006671952105354618
net_imports_change_pct_slog1p,0.0017291066282421497,0.00696429162743204
gdelt_tone_lag1,0.0011527377521614256,0.006469724588081754
inventory_change_pct,-0.0011527377521613146,0.007646397211194011
gdelt_tone_30d,-0.001152737752161337,0.0034582132564841585
inventory_zscore,-0.001152737752161359,0.004313149725387857
day_of_week_sin,-0.0017291066282420164,0.006721558380225166
conflict_intensity_7d_log1p,-0.0017291066282420608,0.005024667370075706
vix_return_slog1p,-0.0034582132564840995,0.012007300666282226
vix_lag1_log1p,-0.004034582132564779,0.005647238600076482
gdelt_events_log1p,-0.004610951008645503,0.004682442884516418
day_of_week_cos,-0.007492795389048945,0.0029389161461629916
production_change_pct_slog1p,-0.007492795389048945,0.011896119562276796
conflict_event_count_log1p,-0.008069164265129625,0.005282508005712795
gdelt_goldstein,-0.008069164265129648,0.007152549651867906
yield_spread,-0.009221902017291029,0.01817162279012618
month_cos,-0.01037463976945241,0.005345025069449972
gdelt_tone_7d,-0.010951008645533089,0.008431549762724954
fatalities_7d_log1p,-0.014409221902017256,0.014351469277220426
usd_return,-0.017867435158501376,0.015292794422388014
