Model,Scheme,Accuracy,F1_binary,F1_macro,AUC,Precision_UP,Recall_UP,TP,FP,TN,FN
XGB,linear_03,0.5261904761904762,0.3559870550161813,0.4906112299563016,0.5595591736774077,0.55,0.2631578947368421,110,90,332,308
LGBM,step_50pct_3x,0.5190476190476191,0.3420195439739414,0.48151633859109827,0.5580058504727998,0.5357142857142857,0.2511961722488038,105,91,331,313
GBM,exp_hl500,0.5154761904761904,0.33387888707037644,0.4765746165941218,0.5432095965894919,0.5284974093264249,0.24401913875598086,102,91,331,316
