date,yield_spread,cpi_lag,unemployment_lag,inventory_change_pct,gdelt_goldstein,gdelt_events,gdelt_tone_7d,gdelt_tone_30d,gdelt_goldstein_7d,conflict_event_count,fatalities,oil_return,usd_return,sp500_return,vix_return,oil_volatility_7d,fed_rate_change,fed_rate_regime,real_rate,inventory_zscore,production_change_pct,net_imports_change_pct,conflict_intensity_7d,fatalities_7d,geopolitical_stress_index,oil_return_lag1,oil_return_lag2,vix_lag1,gdelt_tone_lag1,gdelt_volume_lag1,day_of_week,month
2019-09-25,0.05,255.802,3.7,0.0022713062082369,0.5984251968503937,16510.0,-3.036712480880557,-2.865729012184033,0.2971354326466784,128.0,91.0,-0.0112519667455116,0.0071182082947363,0.0061585717420034,-0.0639295746444557,0.0240390808540811,0.0,3.0,0.5736686649629319,-1.8642038095496665,0.0080645161290322,2.766304347826087,1248.0,842.0,0.5804850078487777,-0.0257835148293787,0.0076228667248723,17.049999237060547,-2.7792898988525203,12.3201064393326,2,9
2019-09-26,0.04,255.802,3.7,0.0022713062082369,0.2901761804087385,14190.0,-2.974225227897596,-2.876975266881643,0.3100106649888017,153.0,86.0,0.0056099101176851,0.0017164596867311,-0.0024289164068657,0.0068922090485168,0.0128108611788981,0.0,3.0,0.5736686649629319,-1.8598957808070724,0.0080645161290322,2.766304347826087,1274.0,844.0,0.5913142385935719,-0.0112519667455116,-0.0257835148293787,15.960000038146973,-2.6574585300796234,12.410608135769785,3,9
2019-09-27,0.06,255.802,3.7,0.0029163174727253,0.4534484041365969,13441.0,-2.9464902068878063,-2.8851629692938654,0.3597233643448553,153.0,86.0,-0.0132292287033769,-0.0010079475359731,-0.0053163524902405,0.0715618942357954,0.0126420217570025,0.0,3.0,0.5736686649629319,-1.6742081643683746,-0.008,-0.2987012987012987,1309.0,846.0,0.590461810610361,0.0056099101176851,-0.0112519667455116,16.06999969482422,-2.9086252572216083,12.078807294484298,4,9
2019-09-30,0.05,255.802,3.7,0.0029163174727253,-0.0011291460832745,11336.0,-2.891800804968529,-2.8891234175474905,0.3123875227114588,507.0,173.0,-0.0182523190260105,0.0027242118999462,0.0050476066752547,-0.0569105447917362,0.0115019062246813,0.0,3.0,0.5736686649629319,-1.6731504120695435,-0.008,-0.2987012987012987,1686.0,941.0,0.5784336806115074,-0.0132292287033769,0.0056099101176851,17.219999313354492,-2.9988114920090747,12.162888488299023,0,9
2019-10-01,0.09,256.43,3.5,0.0029163174727253,0.1747279431603561,11119.0,-2.8079745598086943,-2.8869348374452604,0.3518501904096291,127.0,78.0,-0.0310957457651713,-0.0025155967690611,-0.0122583733729132,0.1428571260789175,0.0135759844241774,-0.3599999999999999,3.0,0.3555022959608438,-1.667740222269248,-0.008,-0.2987012987012987,1683.0,941.0,0.5504136827327732,-0.0182523190260105,-0.0132292287033769,16.239999771118164,-2.857376617450502,11.64115155935439,1,10
2019-10-02,0.12,256.43,3.5,0.0029163174727253,0.2860547742413027,13510.0,-2.8276678954100705,-2.8842180384692964,0.3200011280024961,117.0,68.0,-0.0203769871858818,-0.0009078618015144,-0.0179032029855029,0.1077586237903724,0.0109819967586258,0.0,3.0,0.3555022959608438,-1.6623677015417722,-0.008,-0.2987012987012987,1302.0,655.0,0.5502887029799112,-0.0310957457651713,-0.0182523190260105,18.559999465942383,-2.840347435259414,11.423296118632834,2,10
2019-10-03,0.15,256.43,3.5,0.0029163174727253,0.0059180035650624,11220.0,-2.8817203332474626,-2.906024324816609,0.2582316223255964,133.0,89.0,0.0003466884770286,-0.0018174505604993,0.0079719125970152,-0.070038845530825,0.0115632001919821,0.0,3.0,0.3555022959608438,-1.6570323805037552,-0.008,-0.2987012987012987,1318.0,671.0,0.6007749935284381,-0.0203769871858818,-0.0310957457651713,20.559999465942383,-2.751766036997749,11.596255072557232,3,10
2019-10-04,0.12,256.43,3.5,0.002554662469788,-0.2017150673400674,9504.0,-2.993306932549795,-2.9223459441548,0.1439258702983877,133.0,89.0,0.0114364903462576,-0.0005057965956816,0.0142168975854601,-0.1087866021134259,0.0143361316633924,0.0,3.0,0.3555022959608438,-1.493295083680371,0.0161290322580645,-1.0617283950617284,1323.0,669.0,0.6214856351365486,0.0003466884770286,-0.0203769871858818,19.1200008392334,-3.157656963714268,11.752587826377331,4,10
2019-10-07,0.1,256.43,3.5,0.002554662469788,0.3766868659358616,14687.0,-3.0304996363864123,-2.9241997379951163,0.1562845396594053,515.0,308.0,-0.0003426496167494,0.001821681101338,-0.0044782946735923,0.0481220452328152,0.0135791604407333,0.0,3.0,0.3555022959608438,-1.490511176041321,0.0161290322580645,-1.0617283950617284,1685.0,891.0,0.5961914817763738,0.0114364903462576,0.0003466884770286,17.040000915527344,-3.4385647251959504,11.641652836742766,0,10
2019-10-08,0.12,256.43,3.5,0.002554662469788,0.5392994415838712,13789.0,-3.051110781475264,-2.9161855744056058,0.1685489735804445,150.0,111.0,-0.0018851207974422,0.0015153200233961,-0.0155608192014078,0.135498319909985,0.0137980368883205,0.0,3.0,0.3555022959608438,-1.4845333250155146,0.0161290322580645,-1.0617283950617284,1682.0,916.0,0.5697826469872316,-0.0003426496167494,0.0114364903462576,17.860000610351562,-3.1689741840779275,12.045868681489816,1,10
2019-10-09,0.12,256.43,3.5,0.002554662469788,-0.0398676927230998,14814.0,-3.113305163586201,-2.9215727779999368,0.1630148954890408,162.0,92.0,0.0013735922742426,-0.0002017010610197,0.0091044925499415,-0.0808679113150631,0.0135425815967008,0.0,3.0,0.3555022959608438,-1.4786028664102466,0.0161290322580645,-1.0617283950617284,1337.0,835.0,0.6501723783085585,-0.0018851207974422,-0.0003426496167494,20.280000686645508,-3.143089507631035,11.84457896726024,2,10
2019-10-10,0.14,256.43,3.5,0.002554662469788,0.0840980735551663,17130.0,-3.1984687330875325,-2.9409901112073262,0.150067771259728,192.0,152.0,0.0133744647355698,-0.0041364371544423,0.006415695380997,-0.0574034189839317,0.0102006078346694,0.0,3.0,0.3555022959608438,-1.472719111189493,0.0161290322580645,-1.0617283950617284,1402.0,909.0,0.6483175839573726,0.0013735922742426,-0.0018851207974422,18.63999938964844,-3.292737292227063,12.322365682801191,3,10
2019-10-11,0.13,256.43,3.5,0.0074865420716192,-0.3394955471878549,16731.0,-3.337731258591416,-2.968453845107083,0.0607034396269912,192.0,152.0,0.0238578660544217,-0.0041535410446513,0.0109389775131329,-0.1132612296916759,0.0088896915225626,0.0,3.0,0.3555022959608438,-1.0041980917365003,0.0,0.0333333333333334,1477.0,993.0,0.6921264588958661,0.0133744647355698,0.0013735922742426,17.56999969482422,-3.436492421768732,12.31407018119248,4,10
2019-10-14,0.13,256.43,3.5,0.0074865420716192,0.2281492448919158,16885.0,-3.3221902688369367,-2.973326456337106,0.0924507598165417,683.0,652.0,-0.0191703830703845,0.0015258788588787,-0.001387118733451,-0.0648267159067856,0.012731936491765,0.0,3.0,0.3555022959608438,-1.0037097527064156,0.0,0.0333333333333334,2027.0,1556.0,0.6125744837264127,0.0238578660544217,0.0133744647355698,15.579999923706056,-3.72660371552494,12.315832470022624,0,10
2019-10-15,0.16,256.43,3.5,0.0074865420716192,0.384978180597516,17874.0,-3.254343895198944,-2.982481954853883,0.1762640809504822,172.0,157.0,-0.0102779580680237,-0.0016251502049204,0.0099556766411372,-0.0706931883695979,0.0132012532244134,0.0,3.0,0.3555022959608438,-1.0024850445438307,0.0,0.0333333333333334,2066.0,1624.0,0.6081282338345889,-0.0191703830703845,0.0238578660544217,14.56999969482422,-3.048870035432909,12.222408486145996,1,10
2019-10-16,0.17,256.43,3.5,0.0074865420716192,0.5153842043389976,18714.0,-3.2643624146753374,-3.010270778672452,0.1960779864366445,163.0,137.0,0.0115763784652358,-0.0028487005462284,-0.0019995427986508,0.0103397595064389,0.0136795622087228,0.0,3.0,0.3555022959608438,-1.0012625259303891,0.0,0.0333333333333334,1714.0,1453.0,0.6029543556460351,-0.0102779580680237,-0.0191703830703845,13.539999961853027,-2.963640109730001,12.375655069709088,2,10
2019-10-17,0.16,256.43,3.5,0.0074865420716192,0.5765298172010789,16685.0,-3.269322439144972,-3.037404593095421,0.201396611524817,179.0,68.0,0.0082464101912895,-0.004081231682078,0.002762831573678,0.0080409103964442,0.0136545983644171,0.0,3.0,0.3555022959608438,-1.0000421889496656,0.0,0.0333333333333334,1743.0,1410.0,0.5905791500484319,0.0115763784652358,-0.0102779580680237,13.68000030517578,-3.2391038204126845,12.230121148287314,3,10
2019-10-18,0.18,256.43,3.5,-0.0025023210001122,0.6855479918311778,14690.0,-3.239079748772129,-3.055982954236599,0.3050274236039995,179.0,68.0,-0.0081789631065732,-0.0033808198851674,-0.0039193449495069,0.0333575082972776,0.0143238330123429,0.0,3.0,0.3555022959608438,-1.1545843407574792,0.0,19.032258064516128,1760.0,1386.0,0.5763587318431864,0.0082464101912895,0.0115763784652358,13.789999961853027,-3.1778096789184747,12.156588240431264,4,10
2019-10-21,0.18,256.43,3.5,-0.0025023210001122,0.818610616316352,14035.0,-3.1624770969827467,-3.0572364823865024,0.4099577868555975,818.0,372.0,-0.0077414860088815,0.0005140116404733,0.0068716160561175,-0.0175438596491228,0.0139937359956208,0.0,3.0,0.3555022959608438,-1.151882606156536,0.0,19.032258064516128,2386.0,1606.0,0.5430526082242385,-0.0081789631065732,0.0082464101912895,14.25,-3.08103845961716,12.1296612533094,0,10
2019-10-22,0.18,256.43,3.5,-0.0025023210001122,0.8870638455827765,16164.0,-3.0203667474708253,-3.062353642674042,0.585180557251402,185.0,104.0,0.0125509106166468,0.0020548334992263,-0.0035686663784125,0.0328571455819266,0.0115596749946462,0.0,3.0,0.3555022959608438,-1.1469244934109146,0.0,19.032258064516128,2379.0,1558.0,0.5384941285284114,-0.0077414860088815,-0.0081789631065732,14.0,-2.900273859243056,11.91199684334796,1,10
2019-10-23,0.19,256.43,3.5,-0.0025023210001122,0.7642588052382945,16723.0,-2.966225501439264,-3.059214416198402,0.6617676373008846,207.0,111.0,0.0246230718127293,-0.0006151702998532,0.0028471487971184,-0.0311203186775926,0.0123218372045264,0.0,3.0,0.3555022959608438,-1.1419996061032125,0.0,19.032258064516128,1903.0,1017.0,0.5589722269927566,0.0125509106166468,-0.0077414860088815,14.460000038146973,-2.731831268941492,12.036440239852206,2,10
2019-10-24,0.19,256.43,3.5,-0.0025023210001122,0.5632650448143406,15620.0,-2.9422122414548206,-3.06397071895559,0.6872371893318595,183.0,55.0,0.0081739417192567,0.0016414900042172,0.0019204463587332,-0.0214132894956281,0.0107767180897211,0.0,3.0,0.3555022959608438,-1.1371074994603942,0.0,19.032258064516128,1914.0,915.0,0.5543854335390921,0.0246230718127293,0.0125509106166468,14.010000228881836,-2.669881313211975,12.255381722660031,3,10
2019-10-25,0.17,256.43,3.5,0.0046527153391768,0.4165806673546611,11628.0,-2.91157530290846,-3.07949475424019,0.6731223983340974,183.0,55.0,0.0056754061814552,0.0020485975956505,0.0040727005061091,-0.0773158582543643,0.0106181941210948,0.0,3.0,0.3555022959608438,-0.8458453833118194,0.0,-2.244766505636071,1934.0,833.0,0.5622183723248584,0.0081739417192567,0.0246230718127293,13.710000038146973,-2.795547289838902,11.8985143430736,4,10
2019-10-28,0.21,256.43,3.5,0.0046527153391768,-0.2335802023121388,16608.0,-2.886814606432169,-3.053838630158714,0.5573923955464947,890.0,460.0,-0.0072557362079658,-0.0007155238016357,0.0055813378684714,0.0363636404757787,0.0115358808849347,0.0,3.0,0.3555022959608438,-0.8436950079478287,0.0,-2.244766505636071,2645.0,1225.0,0.6348477565160728,0.0056754061814552,0.0081739417192567,12.649999618530272,-3.024645250588156,11.699703742481123,0,10
2019-10-29,0.2,256.43,3.5,0.0046527153391768,0.0114929676925792,16993.0,-2.8645221785392083,-3.039803811367517,0.4610988206695521,193.0,148.0,0.0003248409592788,-0.0007160361425391,-0.0008324053147991,0.0068650003771777,0.0106015915414535,0.0,3.0,0.3555022959608438,-0.8391058655001187,0.0,-2.244766505636071,2659.0,1305.0,0.6336515950473381,-0.0072557362079658,0.0056754061814552,13.109999656677246,-3.004484803584442,12.1183992312604,1,10
2019-10-30,0.17,256.43,3.5,0.0046527153391768,0.0939810460826159,13823.0,-2.893439703233913,-3.03679514113513,0.3575803106361612,208.0,51.0,-0.0159116665011918,-0.0004094678526732,0.0032533701591457,-0.0659090831916848,0.0122784720137393,0.0,3.0,0.3555022959608438,-0.8345409482360593,0.0,-2.244766505636071,2049.0,984.0,0.6062679256367985,0.0003248409592788,-0.0072557362079658,13.199999809265137,-2.9249914643664376,12.401923105939323,2,10
2019-10-31,0.17,256.43,3.5,0.0046527153391768,-0.0372063349095549,13323.0,-2.921671792927344,-3.0264369233321324,0.225541713422971,193.0,100.0,-0.006269610036109,-0.0030722278245771,-0.0030228605633046,0.0721816990129584,0.0121775160162786,0.0,3.0,0.3555022959608438,-0.8299999227409817,0.0,-2.244766505636071,2057.0,980.0,0.5933564745031068,-0.0159116665011918,0.0003248409592788,12.329999923706056,-3.1026965321059885,11.959174166861349,3,10
2019-11-01,0.17,257.155,3.6,0.0066903901416466,-0.0438903417801424,11089.0,-2.9579456481911808,-3.0096591616214843,0.11009183527748,193.0,100.0,0.0242403967386521,-0.0011299497901976,0.009662312168146,-0.0695915323533283,0.0120732699582904,-0.2099999999999999,3.0,0.0960263003813706,-0.4129741128622946,0.0,0.8615782664941785,2043.0,969.0,0.5643801665639085,-0.006269610036109,-0.0159116665011918,13.220000267028809,-2.9294558967955058,11.768497483503776,4,11
2019-11-04,0.19,257.155,3.6,0.0066903901416466,-0.3789419169787268,12551.0,-3.0577625952007845,-3.0390042693254182,-0.0245091592643867,786.0,264.0,0.0071324761095998,0.0027766791278547,0.0037040890497046,0.0430894085164668,0.011993583138517,0.0,3.0,0.0960263003813706,-0.411092476849963,0.0,0.8615782664941785,2646.0,1178.0,0.6679219797748632,0.0242403967386521,-0.006269610036109,12.300000190734863,-2.923798300058833,11.347543617702051,0,11
2019-11-05,0.23,257.155,3.6,0.0066903901416466,-0.2682073954983923,12440.0,-3.062148939323155,-3.0482062613451597,-0.1223360253862515,250.0,88.0,0.0133590536309096,0.0048200308727968,-0.0011856992143612,0.0210444629282335,0.0126903783254886,0.0,3.0,0.0960263003813706,-0.4083384170293228,0.0,0.8615782664941785,2713.0,1211.0,0.6177749201362119,0.0071324761095998,0.0242403967386521,12.829999923706056,-3.494265918906128,12.095995468336682,1,11
2019-11-06,0.2,257.155,3.6,0.0066903901416466,0.1266565001906214,13115.0,-3.008885800899568,-3.04734573816315,-0.0708736393144286,195.0,163.0,-0.0193773415461617,-0.0003062503333672,0.0007024972279667,-0.0366412581628332,0.0145565951742352,0.0,3.0,0.0960263003813706,-0.4055883586888989,0.0,0.8615782664941785,2018.0,914.0,0.5629129952730508,0.0133590536309096,0.0071324761095998,13.100000381469728,-3.0553496594447496,11.800560036293849,2,11
2019-11-07,0.24,257.155,3.6,0.0066903901416466,0.1594634297201175,12934.0,-2.977683071281745,-3.040610641490485,-0.0497350018819231,211.0,116.0,0.0089083126353779,0.0019397901717814,0.0027300951851503,0.0087162961707405,0.0148488079360468,0.0,3.0,0.0960263003813706,-0.4028422384351334,0.0,0.8615782664941785,2036.0,882.0,0.5735553159604933,-0.0193773415461617,0.0133590536309096,12.619999885559082,-2.631642834619334,11.70776007264412,3,11
2019-11-08,0.26,257.155,3.6,0.0007134097123009,0.0418813542592043,10131.0,-2.967692254312868,-3.041742285534311,-0.0571778149995533,211.0,116.0,0.0035318253776268,0.0021397909698255,0.0025606760900243,-0.0518460228708038,0.0129921869765796,0.0,3.0,0.0960263003813706,-0.3557998875117877,0.0158730158730158,-0.6949270326615705,2039.0,947.0,0.5716975797326653,0.0089083126353779,-0.0193773415461617,12.729999542236328,-2.706572357041675,11.83953493833269,4,11
2019-11-11,0.26,257.155,3.6,0.0007134097123009,-0.1077862463190715,11546.0,-2.9676088528131905,-3.04412546782922,-0.0672606594866271,738.0,372.0,-0.0052791237436931,-0.0015251807646785,-0.0019624672514313,0.0513670175008327,0.0128789859803785,0.0,3.0,0.0960263003813706,-0.3532685567794817,0.0158730158730158,-0.6949270326615705,2584.0,1219.0,0.5933194039505383,0.0035318253776268,0.0089083126353779,12.06999969482422,-3.0327608133238435,11.45910265827272,0,11
2019-11-12,0.26,257.155,3.6,0.0007134097123009,-0.9800745832114656,13676.0,-3.0999165914278257,-3.0777789689992825,-0.2010012654053876,284.0,211.0,-0.0019298638034065,0.0011201691829942,0.0015646460846321,-0.0007879649754266,0.0101593822775372,0.0,3.0,0.0960263003813706,-0.3504229376947477,0.0158730158730158,-0.6949270326615705,2675.0,1330.0,0.733273426984705,-0.0052791237436931,0.0035318253776268,12.6899995803833,-2.928872086297772,11.698392070908255,1,11
2019-11-13,0.25,257.155,3.6,0.0007134097123009,-0.7315230041120335,12889.0,-3.2018393399738057,-3.1263109397236235,-0.2513699921387172,312.0,136.0,0.0049951265184335,0.0006103670987531,0.0007115345908383,0.0252365683850654,0.0099985193086139,0.0,3.0,0.0960263003813706,-0.347580034953036,0.0158730158730158,-0.6949270326615705,2201.0,1202.0,0.7203260455758684,-0.0019298638034065,-0.0052791237436931,12.68000030517578,-3.849952470361281,12.185134974315291,2,11
2019-11-14,0.24,257.155,3.6,0.0007134097123009,-0.3370817770007152,12583.0,-3.276339591370585,-3.1402840882405547,-0.2612091894961918,207.0,102.0,-0.0014430039142083,-0.0021347878276842,0.0008370427393644,0.0038461685180664,0.0085348595384142,0.0,3.0,0.0960263003813706,-0.3447397793286689,0.0158730158730158,-0.6949270326615705,2158.0,1216.0,0.6388420068729649,0.0049951265184335,-0.0019298638034065,13.0,-4.2077251587279845,11.98470875967155,3,11
