Subset,N,RMSE,R2,Acc,F1m
ALL_42,42,0.022794387623080645,-0.36403350734472073,0.5333333333333333,0.5179622310057093
TOP_10,10,0.02362839243413784,-0.4656744960910051,0.5297619047619048,0.5084262380088151
TOP_15,15,0.02338174196150644,-0.43523463788441497,0.5404761904761904,0.5327522999239123
TOP_20,20,0.023379343696437623,-0.43494022897539897,0.5297619047619048,0.5197978461819008
TOP_25,25,0.02291313088807956,-0.3782818978849223,0.5547619047619048,0.5434888749389691
