Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin,SourceGroup,ModelConfig,TestEvidence,CommonMetricSet,ComparableUse,Device,Lookback,Epochs,FinalRefit
XGB_exp100_th05,test,0.5,0.4976190476190476,0.4977323748837842,0.5081585081585082,0.4973882565123441,0.4954545454545455,0.5215311004784688,0.5,0.4739336492890995,0.4991779858953717,-0.0045403495222041,0.823966447922927,0.2973856139500458,218,222,200,200,0.5238095238095238,0.4976190476190476,1.0,840,weight_decay,XGB,exp_hl100,all,27.0,fixed_0.5,,ml,XGB_exp100,current_unified_test_run,full_common_metrics,primary,,,,
FS_XGB_th05,test,0.5,0.5226190476190476,0.5214460645366108,0.3645007923930269,0.4911159824691541,0.539906103286385,0.2751196172248804,0.5167464114832536,0.7677725118483413,0.5407832377151409,0.0492944923477454,0.7911153815951877,0.2853445446021287,115,98,324,303,0.2535714285714285,0.4976190476190476,1.0,840,feature_selection,XGB,uniform,SPEARMAN_TOP_25,25.0,fixed_0.5,,ml,FS_XGB,current_unified_test_run,full_common_metrics,primary,,,,
XGB_linear03_th05,test,0.5,0.5261904761904762,0.5249438762783737,0.3559870550161812,0.4906112299563015,0.55,0.2631578947368421,0.51875,0.7867298578199052,0.5595591736774077,0.0585643491236467,0.7810552959000407,0.2830219074952138,110,90,332,308,0.238095238095238,0.4976190476190476,1.0,840,weight_decay,XGB,linear_03,all,27.0,fixed_0.5,,ml,XGB_linear03,current_unified_test_run,full_common_metrics,primary,,,,
FS_LGBM_small_th05,test,0.5,0.530952380952381,0.5296038458921971,0.3433333333333333,0.4892592592592593,0.5659340659340659,0.2464114832535885,0.5212765957446809,0.8127962085308057,0.5329372548130343,0.0718577899534095,0.7382905536203352,0.2691505355068683,103,79,343,315,0.2166666666666666,0.4976190476190476,1.0,840,feature_selection,LGBM_small,uniform,SPEARMAN_TOP_25,25.0,fixed_0.5,,ml,FS_LGBM_small,current_unified_test_run,full_common_metrics,primary,,,,
DL_MLP_L5_th05,test,0.5,0.4892857142857142,0.4891324066305358,0.471023427866831,0.4886762708954408,0.4860050890585242,0.4569377990430622,0.4921700223713646,0.5213270142180095,0.4946710809768929,-0.0217799914744627,0.7518845024180569,0.2749706035654107,191,202,220,227,0.4678571428571428,0.4976190476190476,1.0,840,deep_learning,MLP,,,,fixed_0.5,,dl,DL_MLP_L5,current_unified_test_run,full_common_metrics,primary,cuda,5.0,22.0,train_full
GBM_exp250_th05,test,0.5,0.5142857142857142,0.513208916301957,0.3703703703703703,0.487510766580534,0.5217391304347826,0.2870813397129186,0.5114754098360655,0.7393364928909952,0.5314349531735414,0.0296218865856181,0.7764990491146699,0.2828234095029864,120,110,312,298,0.2738095238095238,0.4976190476190476,1.0,840,weight_decay,GBM,exp_hl250,all,27.0,fixed_0.5,,ml,GBM_exp250,current_unified_test_run,full_common_metrics,primary,,,,
DL_GRU_L20_th05,test,0.5,0.5023809523809524,0.50157599945577,0.3994252873563218,0.487314269694421,0.5,0.3325358851674641,0.50355871886121,0.6706161137440758,0.5035658404952493,0.0033491906450679,0.6971354817323481,0.2519677304522124,139,139,283,279,0.3309523809523809,0.4976190476190476,1.0,840,deep_learning,GRU,,,,fixed_0.5,,dl,DL_GRU_L20,current_unified_test_run,full_common_metrics,primary,cuda,20.0,3.0,train_full
BASE_XGB_th05,test,0.5,0.525,0.5237023515272455,0.3448275862068966,0.4861392832995267,0.5497382198952879,0.2511961722488038,0.5177195685670262,0.7962085308056872,0.5366164765640944,0.0565492389937183,0.7452070631877976,0.2711245353187488,105,86,336,313,0.2273809523809523,0.4976190476190476,1.0,840,baseline,XGB_small,uniform,all,27.0,fixed_0.5,,ml,BASE_XGB,current_unified_test_run,full_common_metrics,primary,,,,
LGBM_small_step50_3_th05,test,0.5,0.5238095238095238,0.5225288555296038,0.3464052287581699,0.4859366967760887,0.5463917525773195,0.2535885167464115,0.5170278637770898,0.7914691943127962,0.5396664323454047,0.0534559888991194,0.732822104156879,0.2673165380666124,106,88,334,312,0.2309523809523809,0.4976190476190476,1.0,840,weight_decay,LGBM_small,step_50pct_3x,all,27.0,fixed_0.5,,ml,LGBM_small_step50_3,current_unified_test_run,full_common_metrics,primary,,,,
ENS_XGB_LGBM_STEP_th05,test,0.5,0.5202380952380953,0.5190197056622599,0.3531300160513643,0.4859311385838657,0.5365853658536586,0.2631578947368421,0.5149606299212598,0.7748815165876777,0.5530851039706116,0.0442806880639188,0.8017387048220312,0.2892864477563056,110,95,327,308,0.244047619047619,0.4976190476190476,1.0,840,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,fixed_0.5,,ml,ENS_XGB_LGBM_STEP,current_unified_test_run,full_common_metrics,primary,,,,
