Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin,ModelConfig
ENS_TOP3_VAL,test_selective,0.5,0.5374149659863946,0.5177622089429219,0.1130434782608695,0.4000800213390237,0.6842105263157895,0.0616113744075829,0.5308056872037915,0.9739130434782608,0.5476818462806512,0.0873975161048723,0.8243676841047322,0.3007239407234544,13,6,224,198,0.0430839002267573,0.4784580498866213,0.525,441,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.15,ENS_TOP3_VAL
ENS_XGB_LGBM_STEP,test_selective,0.5,0.537117903930131,0.5292656037991859,0.308695652173913,0.4803872133954904,0.568,0.2119402985074626,0.5302491103202847,0.8465909090909091,0.5530189959294437,0.0758329682427894,0.8243165120792271,0.2972352856809556,71,54,298,264,0.1819505094614265,0.487627365356623,0.8178571428571428,687,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.06,ENS_XGB_LGBM_STEP
XGB_linear03,test_selective,0.5,0.5362068965517242,0.5312425669568527,0.2670299727520436,0.4639059069308767,0.6049382716049383,0.1713286713286713,0.5250501002004008,0.891156462585034,0.5885305171019457,0.0901240301999479,0.8168470671843433,0.2960423442569846,49,32,262,237,0.1396551724137931,0.493103448275862,0.6904761904761905,580,weight_decay,XGB,linear_03,all,27.0,selective_fixed_0.5,0.1,XGB_linear03
LGBM_step50_3,test_selective,0.5,0.5354449472096531,0.528105539167486,0.3,0.4761851015801354,0.5689655172413793,0.2037037037037037,0.5283363802559415,0.8525073746312685,0.5670818310936305,0.0739556933735552,0.8326781981325907,0.2995831181569703,66,50,289,258,0.1749622926093514,0.4886877828054298,0.7892857142857143,663,weight_decay,LGBM,step_50pct_3x,all,27.0,selective_fixed_0.5,0.08,LGBM_step50_3
XGB_step50_3,test_selective,0.5,0.5349264705882353,0.5194955525770684,0.2215384615384615,0.4449763080955741,0.5625,0.1379310344827586,0.53125,0.901060070671378,0.548691496419046,0.0604600372824919,0.8666280268813519,0.3110985448278728,36,28,255,225,0.1176470588235294,0.4797794117647059,0.6476190476190476,544,weight_decay,XGB,step_50pct_3x,all,27.0,selective_fixed_0.5,0.12,XGB_step50_3
LGBM_exp100,test_selective,0.5,0.5342639593908629,0.5339953745160313,0.5518925518925519,0.5335420487335943,0.5355450236966824,0.5692695214105793,0.5327868852459017,0.4987212276214833,0.5211335656812282,0.0681611155410252,0.8190910640658026,0.293140939844427,226,196,195,171,0.5355329949238579,0.5038071065989848,0.938095238095238,788,weight_decay,LGBM,exp_hl100,all,27.0,selective_fixed_0.5,0.02,LGBM_exp100
LGBM_exp100,test_selective,0.5,0.5332428765264586,0.5328086792564004,0.5520833333333334,0.5324156043437205,0.5367088607594936,0.5683646112600537,0.5292397660818714,0.4972527472527472,0.5189066965206376,0.0657827841526699,0.8281840831435371,0.2963148202350528,212,183,181,161,0.5359565807327001,0.5061058344640434,0.8773809523809524,737,weight_decay,LGBM,exp_hl100,all,27.0,selective_fixed_0.5,0.04,LGBM_exp100
LGBM_linear01,test_selective,0.5,0.533203125,0.5192193109770071,0.2006688963210702,0.4355068619536386,0.5769230769230769,0.1214574898785425,0.5282608695652173,0.9169811320754716,0.5516156137804598,0.0635855797700611,0.8800697625137122,0.315605532474465,30,22,243,217,0.1015625,0.482421875,0.6095238095238096,512,weight_decay,LGBM,linear_01,all,27.0,selective_fixed_0.5,0.15,LGBM_linear01
LGBM_small_step50_3,test_selective,0.5,0.533195020746888,0.5089532632743363,0.1935483870967742,0.4325406169060513,0.5094339622641509,0.1194690265486725,0.5361305361305362,0.8984375,0.5328747234513275,0.0285639965722833,0.7557500278065739,0.2769584833436122,27,26,230,199,0.1099585062240663,0.4688796680497925,0.5738095238095238,482,weight_decay,LGBM_small,step_50pct_3x,all,27.0,selective_fixed_0.5,0.1,LGBM_small_step50_3
LGBM_step50_3,test_selective,0.5,0.533011272141707,0.5234850214868484,0.2676767676767677,0.4624435847840102,0.5638297872340425,0.1754966887417218,0.5275142314990512,0.8714733542319749,0.569173119641263,0.0655013930026192,0.8428959182304777,0.3033243152236825,53,41,278,249,0.1513687600644122,0.4863123993558776,0.7392857142857143,621,weight_decay,LGBM,step_50pct_3x,all,27.0,selective_fixed_0.5,0.1,LGBM_step50_3
