Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin
ENS_XGB_LGBM_STEP_th05,test,0.5,0.5202380952380953,0.5190197056622599,0.35313001605136435,0.4859311385838657,0.5365853658536586,0.2631578947368421,0.5149606299212598,0.7748815165876777,0.5530851039706116,0.04428068806391881,0.8017387048220312,0.28928644775630563,110,95,327,308,0.24404761904761904,0.4976190476190476,1.0,840,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,fixed_0.5,
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5283505154639175,0.5239721476599251,0.33454545454545453,0.48463799673380514,0.5476190476190477,0.24083769633507854,0.5230263157894737,0.8071065989847716,0.5520437451829803,0.05819830037240158,0.8105542640772629,0.2924563624448224,92,76,318,290,0.21649484536082475,0.49226804123711343,0.9238095238095239,776,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.02
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5300546448087432,0.5267731820218008,0.3228346456692913,0.48150100484301384,0.5616438356164384,0.2265193370165746,0.5221843003412969,0.827027027027027,0.5581454382559355,0.06699770059553853,0.8175077083664543,0.29495659340452085,82,64,306,280,0.1994535519125683,0.49453551912568305,0.8714285714285714,732,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.04
ENS_XGB_LGBM_STEP,test_selective,0.5,0.537117903930131,0.5292656037991859,0.30869565217391304,0.48038721339549045,0.568,0.21194029850746268,0.5302491103202847,0.8465909090909091,0.5530189959294437,0.07583296824278947,0.8243165120792271,0.29723528568095564,71,54,298,264,0.1819505094614265,0.487627365356623,0.8178571428571428,687,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.06
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5272161741835147,0.5182447477974634,0.2692307692307692,0.4599027409372237,0.5436893203883495,0.17891373801916932,0.524074074074074,0.8575757575757575,0.5556297802304192,0.049725768809882664,0.8363277141197234,0.3019751266624893,56,47,283,257,0.16018662519440124,0.4867807153965785,0.7654761904761904,643,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.08
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5266666666666666,0.5122863247863247,0.23655913978494625,0.44678198535141034,0.5238095238095238,0.1527777777777778,0.5271317829457365,0.8717948717948718,0.551170762108262,0.03538026115887016,0.8464677482469123,0.30564149467534585,44,40,272,244,0.14,0.48,0.7142857142857143,600,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.1
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5259391771019678,0.5157498975199836,0.2182890855457227,0.43905468397953656,0.5522388059701493,0.13602941176470587,0.5223577235772358,0.8954703832752613,0.5672268907563025,0.04847448185834982,0.8571234896172608,0.3094395173487498,37,30,257,235,0.11985688729874776,0.4865831842576029,0.6654761904761904,559,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.12
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5270541082164328,0.5094866430640489,0.15714285714285714,0.4142260246717071,0.5365853658536586,0.09205020920502092,0.5262008733624454,0.926923076923077,0.5673318313485677,0.03451465314260507,0.8733982729343063,0.31493814820146476,22,19,241,217,0.08216432865731463,0.4789579158316633,0.594047619047619,499,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.15
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5588235294117647,0.5089200963808503,0.11764705882352941,0.411764705882353,0.5217391304347826,0.06629834254143646,0.561038961038961,0.9515418502202643,0.5228417747706088,0.038428857754782234,0.8790196343919457,0.31308017269637767,12,11,216,169,0.056372549019607844,0.44362745098039214,0.4857142857142857,408,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.2
ENS_TOP3_VAL,val,0.565,0.6076923076923076,0.6099668560606061,0.5446428571428571,0.6000241312741312,0.6630434782608695,0.4621212121212121,0.5773809523809523,0.7578125,0.6043442234848484,0.22995094588995452,0.6845308392982706,0.2449251300539561,61,31,97,71,0.35384615384615387,0.5076923076923077,1.0,260,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,val_f1_macro,
ENS_TOP3_VAL,test,0.565,0.5214285714285715,0.5195582666273612,0.20866141732283464,0.43282900217677567,0.5888888888888889,0.12679425837320574,0.5133333333333333,0.9123222748815166,0.5416562733848841,0.0632343178576884,0.7685171580348711,0.2797613901436917,53,37,385,365,0.10714285714285714,0.4976190476190476,1.0,840,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,val_f1_macro,
ENS_TOP3_VAL_th05,test,0.5,0.5214285714285715,0.5201138347808341,0.33663366336633666,0.48116599369434154,0.5425531914893617,0.24401913875598086,0.5153374233128835,0.7962085308056872,0.5416562733848841,0.048257688744764056,0.7685171580348711,0.2797613901436917,102,86,336,316,0.22380952380952382,0.4976190476190476,1.0,840,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,fixed_0.5,
ENS_TOP3_VAL,test_selective,0.5,0.5300896286811779,0.5289367032159907,0.326605504587156,0.482870107259163,0.5705128205128205,0.22879177377892032,0.52,0.8290816326530612,0.5447969676302398,0.07237599912155587,0.7739353689008354,0.28187196743315596,89,67,325,300,0.1997439180537772,0.4980793854033291,0.9297619047619048,781,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.02
ENS_TOP3_VAL,test_selective,0.5,0.5272727272727272,0.5268179897657387,0.2987551867219917,0.47110755116690306,0.576,0.20168067226890757,0.5169491525423728,0.8519553072625698,0.5500524232039185,0.07060749849152625,0.7817529826628001,0.28499409155141686,72,53,305,285,0.17482517482517482,0.4993006993006993,0.8511904761904762,715,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.04
ENS_TOP3_VAL,test_selective,0.5,0.5255023183925811,0.5238365981844243,0.2566585956416465,0.45409547262218536,0.5824175824175825,0.16459627329192547,0.5161870503597122,0.8830769230769231,0.5530625895843286,0.06856236592526666,0.7914717172143361,0.2888748687180298,53,38,287,269,0.14064914992272023,0.49768160741885625,0.7702380952380953,647,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.06
ENS_TOP3_VAL,test_selective,0.5,0.5226130653266332,0.5167710648615882,0.21052631578947367,0.43419473052378843,0.5671641791044776,0.1292517006802721,0.5169811320754717,0.9042904290429042,0.550122359174693,0.05312638650609418,0.800413000903199,0.29248218875210696,38,29,274,256,0.11222780569514237,0.49246231155778897,0.7107142857142857,597,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.08
ENS_TOP3_VAL,test_selective,0.5,0.5237226277372263,0.5178390620836664,0.19195046439628483,0.4271524637634723,0.5849056603773585,0.11481481481481481,0.5171717171717172,0.920863309352518,0.5565947242206235,0.06034839973745477,0.8088716665338652,0.2957248293773214,31,22,256,239,0.09671532846715329,0.4927007299270073,0.6523809523809524,548,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.1
ENS_TOP3_VAL,test_selective,0.5,0.5266272189349113,0.5123227917121047,0.14893617021276595,0.41053365887687476,0.5675675675675675,0.08571428571428572,0.5234042553191489,0.9389312977099237,0.5467985667549462,0.04735032893451715,0.8156771143991727,0.2981770017499044,21,16,246,224,0.07297830374753451,0.4832347140039448,0.6035714285714285,507,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.12
ENS_TOP3_VAL,test_selective,0.5,0.5374149659863946,0.5177622089429219,0.11304347826086956,0.40008002133902376,0.6842105263157895,0.061611374407582936,0.5308056872037915,0.9739130434782609,0.5476818462806512,0.0873975161048723,0.8243676841047322,0.3007239407234544,13,6,224,198,0.04308390022675737,0.47845804988662133,0.525,441,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.15
ENS_TOP3_VAL,test_selective,0.5,0.5420289855072464,0.5185790324754076,0.08139534883720931,0.3881880219089522,0.875,0.042682926829268296,0.5341246290801187,0.994475138121547,0.5579773615415713,0.12329752446962287,0.8472306604078575,0.30849246433557764,7,1,180,157,0.02318840579710145,0.4753623188405797,0.4107142857142857,345,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM",from_members,,selective_fixed_0.5,0.2
