Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode
BASE_LogReg,val,0.5925,0.5192307692307693,0.5187026515151515,0.5387453874538746,0.5183686776626802,0.5251798561151079,0.553030303030303,0.512396694214876,0.484375,0.492483428030303,0.037490828904233144,0.7299514053329499,0.26661161802084127,73,66,62,59,0.5346153846153846,0.5076923076923077,1.0,260,baseline,LogisticRegression,uniform,all,27,val_f1_macro
BASE_LogReg,test,0.5925,0.5083333333333333,0.5063096668858704,0.14137214137214138,0.3984592149729764,0.5396825396825397,0.08133971291866028,0.5057915057915058,0.9312796208530806,0.5250289122202317,0.023955211495378236,0.7006776743471749,0.25345911685203176,34,29,393,384,0.075,0.4976190476190476,1.0,840,baseline,LogisticRegression,uniform,all,27,val_f1_macro
BASE_LogReg_th05,test,0.5,0.5166666666666667,0.5163382389623348,0.4794871794871795,0.5141880341880342,0.5165745856353591,0.4473684210526316,0.5167364016736402,0.5853080568720379,0.5250289122202317,0.032992207283712625,0.7006776743471749,0.25345911685203176,187,175,247,231,0.430952380952381,0.4976190476190476,1.0,840,baseline,LogisticRegression,uniform,all,27,fixed_0.5
BASE_SVM_RBF,val,0.5425,0.6,0.6013257575757576,0.5666666666666667,0.5976190476190476,0.6296296296296297,0.5151515151515151,0.5789473684210527,0.6875,0.5844578598484849,0.20559291009352773,0.6876148128739386,0.2472364152985883,68,40,88,64,0.4153846153846154,0.5076923076923077,1.0,260,baseline,SVM_RBF,uniform,all,27,val_f1_macro
BASE_SVM_RBF,test,0.5425,0.49166666666666664,0.4897673416630763,0.15109343936381708,0.39415334669975055,0.4470588235294118,0.09090909090909091,0.4966887417218543,0.8886255924170616,0.5156125989251457,-0.03392969040247467,0.6942142566012218,0.2505271504618358,38,47,375,380,0.10119047619047619,0.4976190476190476,1.0,840,baseline,SVM_RBF,uniform,all,27,val_f1_macro
BASE_SVM_RBF_th05,test,0.5,0.5107142857142857,0.510414068346221,0.4764331210191083,0.5086076219620681,0.5095367847411444,0.4473684210526316,0.5116279069767442,0.5734597156398105,0.5156125989251457,0.02099573985725626,0.6942142566012218,0.2505271504618358,187,180,242,231,0.4369047619047619,0.4976190476190476,1.0,840,baseline,SVM_RBF,uniform,all,27,fixed_0.5
BASE_RandomForest,val,0.5249999999999999,0.5807692307692308,0.5802556818181819,0.5977859778597786,0.5800174869218572,0.5827338129496403,0.6136363636363636,0.5785123966942148,0.546875,0.5735085227272727,0.16087836707006373,0.6884324934471825,0.24760978771247547,81,58,70,51,0.5346153846153846,0.5076923076923077,1.0,260,baseline,RandomForest,uniform,all,27,val_f1_macro
BASE_RandomForest,test,0.5249999999999999,0.5190476190476191,0.517381346515794,0.25735294117647056,0.4508595691797846,0.5555555555555556,0.1674641148325359,0.5126050420168067,0.8672985781990521,0.534898750538561,0.04867695481701411,0.6951615596291572,0.2509377023649994,70,56,366,348,0.15,0.4976190476190476,1.0,840,baseline,RandomForest,uniform,all,27,val_f1_macro
BASE_RandomForest_th05,test,0.5,0.5142857142857142,0.5131635637996326,0.3625,0.4850961538461538,0.5225225225225225,0.27751196172248804,0.511326860841424,0.7488151658767772,0.534898750538561,0.0298522534321794,0.6951615596291572,0.2509377023649994,116,106,316,302,0.2642857142857143,0.4976190476190476,1.0,840,baseline,RandomForest,uniform,all,27,fixed_0.5
BASE_GBM,val,0.5325,0.6,0.6001420454545454,0.6,0.6,0.609375,0.5909090909090909,0.5909090909090909,0.609375,0.5807291666666666,0.2002840909090909,0.711190898918036,0.25570879766773,78,50,78,54,0.49230769230769234,0.5076923076923077,1.0,260,baseline,GBM,uniform,all,27,val_f1_macro
