Model,Test_Accuracy,Test_F1_macro,Test_AUC,CV_Acc,Time_s
LGBM,0.5452380952380952,0.5326237044028455,0.5562541100705232,0.5473372781065089,2.0
XGB,0.5345238095238095,0.5289960548902296,0.5498480691172135,0.5455621301775148,5.6
GBM,0.5261904761904762,0.5152843746194129,0.5363273543617769,0.5349112426035504,38.6
