feature,abs_rpb,MI,ks_stat,abs_rpb_n,MI_n,ks_stat_n,score
geopolitical_stress_index,0.05092671674100433,0.014832150790104581,0.09577180470534132,0.5740403997141682,0.7690804048209003,1.0,0.7810402681783563
gdelt_volume_7d,0.049670978079012496,0.01928556584868213,0.061907088116413655,0.5598858504010387,1.0,0.6464020210006653,0.7354292904672347
stress_tone,0.0439399745169464,0.014724871383993587,0.08612545791520339,0.4952866029713905,0.7635177261340146,0.8992778008118715,0.7193607099724256
gdelt_tone,0.0439399745169464,0.014647054731054876,0.08612545791520339,0.4952866029713905,0.7594827575181454,0.8992778008118715,0.7180157204338026
day_of_week,0.08871625893641329,0.003039012453690315,0.07997067126421073,1.0,0.15757963637338568,0.8350126794650521,0.6641974386128126
sp500_close,0.06130004236720957,0.009724825308300211,0.07092179588640471,0.6909673954032024,0.5042540822811664,0.7405289699260446,0.6452501492034711
inventory_zscore,0.0365058636317878,0.011606963327860598,0.06665453870497379,0.4114901154471933,0.6018471751843234,0.6959724619374994,0.5697699175230054
gdelt_volume_lag1,0.04039800182015316,0.009041193730528363,0.059039779406536354,0.45536187283447244,0.4688062461566918,0.616463055992132,0.513543724994432
conflict_intensity_7d,0.07193485012136576,0.0,0.06951723017055177,0.8108417891350054,0.0,0.7258632160522992,0.5122350017291015
inventory_change_pct,0.05388492669768689,0.0,0.08597031850674626,0.6073850198790337,0.0,0.8976579147824243,0.501680978220486
gdelt_goldstein,0.04650419331989346,0.003915952243306098,0.06566829532263918,0.524190197799312,0.20305093840809926,0.6856746150360136,0.47097191708114156
stress_goldstein,0.04650419331989346,0.0035638038790617443,0.06566829532263918,0.524190197799312,0.18479125305546973,0.6856746150360136,0.4648853552969318
conflict_event_count,0.05344016885367221,0.0009551317681619764,0.06686508504502275,0.6023717579432092,0.04952573212816802,0.6981708786917493,0.45002278958770886
net_imports_weekly,0.04975920780118723,0.0,0.07144446794108765,0.5608803662116971,0.0,0.745986443096682,0.4356222697694598
month,0.018132201900451,0.014026994242060553,0.034134363656007916,0.2043842032771819,0.7273312254418027,0.35641349519337395,0.4293763079707862
gdelt_goldstein_7d,0.051351629291666964,0.0,0.06527213576175758,0.578829967666613,0.0,0.6815381203536751,0.4201226960067627
gdelt_tone_30d,0.018177626218757355,0.008703861651123468,0.05502554721270814,0.20489622124154303,0.45131481852362876,0.5745485049801854,0.41025318158178575
fatalities_7d,0.013843118571870728,0.009435329637481615,0.05585572773772575,0.15603812353936924,0.4892430801104223,0.5832168236734773,0.40949934244108954
gdelt_tone_spike,0.027776748416274012,0.01453434169733292,0.0107461743822358,0.3130964802763244,0.7536383330088351,0.1122060340754597,0.3929802824535398
gdelt_tone_7d,0.03286871387317462,0.004882940540023029,0.052857289289747776,0.3704925598444477,0.253191458230234,0.5519086692829112,0.3918642291191976
usd_close,0.04561272516241247,6.469764277960977e-05,0.057596428838569136,0.5141416659048377,0.003354718408950954,0.6013923306110249,0.3729629049749379
vix_return,0.010066057694379555,0.01474964343548768,0.021021389845941027,0.11346350505598221,0.764802212764506,0.2194945569900975,0.36592009160352856
cpi_lag,0.034378534888006074,0.0,0.06665823250041324,0.3875110977419216,0.0,0.6960110306524862,0.361174042798136
fatalities,0.03143722720116707,0.0014713990213874872,0.06084973917186953,0.3543569981202596,0.0762953512970445,0.6353617263356829,0.35533802525099567
oil_return_lag2,0.010832427594127884,0.009307541551631271,0.04406143889954446,0.12210194302593334,0.48261698021514354,0.46006691672050215,0.35492861332052633
vix_close,0.003870735941968645,0.013629986587176735,0.024723496325135264,0.04363051359889923,0.706745484893726,0.25815005158565635,0.33617535002609383
yield_spread,0.006942646379358324,0.008771082922249818,0.0441039175470982,0.0782567531880984,0.4548003927429065,0.4605104569428508,0.33118920095795196
oil_return,0.040603284142163985,0.0,0.0506640982475711,0.4576757927908805,0.0,0.5290084947594759,0.32889476251678545
gdelt_tone_lag1,0.03562452557570362,0.0,0.05385461405840075,0.40155576895140754,0.0,0.5623222223293576,0.32129266376025506
unemployment_lag,0.02419854136347825,0.00600400400003176,0.03522218641292754,0.27276332042836,0.3113211220837495,0.3677719817569978,0.3172854747563691
gdelt_events,0.035951339242199655,0.0,0.05106302815503229,0.4052395769750335,0.0,0.5331739159780544,0.3128044976510293
crude_production_weekly,0.02843901489864276,0.0,0.05549004198921966,0.3205614758736187,0.0,0.5793985208897803,0.2999866655877997
cpi_yoy,0.025621372921787917,0.0002708147228127622,0.05614292033314341,0.2888013226544172,0.014042352966857241,0.5862155412637039,0.2963530722949928
stress_volume,0.02892093110338542,0.0,0.05382691059260484,0.32599358280103174,0.0,0.5620329569669563,0.29600884658932936
gdelt_volume_log,0.028920931103385367,0.0,0.05382691059260484,0.3259935828010312,0.0,0.5620329569669563,0.2960088465893292
net_imports_change_pct,0.016962201663837995,0.0,0.060807260524315794,0.19119608814879724,0.0,0.6349181861133342,0.2753714247540438
