feature,perm_mean,perm_std
yield_spread,0.018343195266272195,0.007805269797794632
ret_mean_5,0.007100591715976323,0.008492721949353441
momentum_10,0.004733727810650889,0.0040132130077664115
sp500_return_lag1,0.004142011834319526,0.007149731345322226
gdelt_tone_lag1,0.0035502958579881616,0.007343002157391052
gdelt_volume_lag1_log1p,0.00295857988165682,0.008776566256917922
macd_signal,0.0029585798816567977,0.008776566256917907
oil_return,0.0029585798816567756,0.017849826188163737
vix_return_slog1p,0.002366863905325434,0.005736899239545945
ret_mean_20,0.001183431952662728,0.0035502958579881837
sp500_return,0.000591715976331364,0.005423166502906347
net_imports_change_pct_slog1p,0.0005917159763313418,0.009971774879498662
macd_cross,0.0,0.0
macd,0.0,0.004184063794003262
ma_20_50_cross,0.0,0.0
ma_10_20_cross,0.0,0.0
vix_return_lag1,0.0,0.0
oil_return_lag2,-2.2204460492503132e-17,0.008156241865142152
gdelt_goldstein,-0.0005917159763313418,0.011443242370303953
ma_10,-0.000591715976331364,0.001183431952662728
month_cos,-0.000591715976331364,0.00434820664399383
conflict_event_count_log1p,-0.000591715976331364,0.001183431952662728
ma_5,-0.000591715976331364,0.001183431952662728
day_of_week_sin,-0.0011834319526627056,0.011625374381294948
bb_lower,-0.001183431952662728,0.00144940221466461
inventory_zscore,-0.001183431952662728,0.002366863905325456
ma_50,-0.001183431952662728,0.00144940221466461
oil_return_lag1,-0.0017751479289940919,0.011625374381294969
price_vs_ma20,-0.0017751479289940919,0.004807123316352664
vix_lag1_log1p,-0.002366863905325456,0.003450267393399604
ma_20,-0.002366863905325456,0.0022139984537124027
gdelt_events_log1p,-0.00295857988165682,0.0
fatalities_log1p,-0.00295857988165682,0.006205969515799745
oil_return_lag3,-0.0035502958579881616,0.010145815502652231
month_sin,-0.0035502958579881616,0.004733727810650873
bb_upper,-0.0035502958579881837,0.003924999751899902
oil_return_lag5,-0.004142011834319503,0.006372976103117735
production_change_pct_slog1p,-0.004142011834319526,0.006092088840820713
fatalities_7d_log1p,-0.004142011834319526,0.01192274655598216
macd_hist,-0.004142011834319526,0.006092088840820702
gdelt_tone_30d,-0.004142011834319526,0.005158460288213808
momentum_20,-0.004142011834319526,0.005487348222186803
momentum_5,-0.004142011834319548,0.002366863905325456
rsi_14,-0.005325443786982254,0.004733727810650881
bb_position,-0.0065088757396449815,0.006034342619636431
usd_return,-0.0065088757396449815,0.015361840219819138
day_of_week_cos,-0.009467455621301801,0.004733727810650873
ma_5_10_cross,-0.011834319526627213,0.0026462342928991233
conflict_intensity_7d_log1p,-0.011834319526627234,0.006205969515799703
price_vs_ma50,-0.012426035502958599,0.009614246632705277
gdelt_goldstein_7d,-0.013017751479289918,0.006641995361137174
inventory_change_pct,-0.013017751479289963,0.007390530175619398
ret_std_20,-0.013609467455621282,0.0030171713098181966
gdelt_tone_7d,-0.014792899408284033,0.008776566256917943
bb_width,-0.015976331360946738,0.006641995361137185
ret_std_5,-0.01775147928994083,0.006746600148515614
