Model,Test_Accuracy,Test_F1_macro,Test_AUC,CV_Acc,Time_s,Selected_Case,Ranking,N_Features
XGB,0.5190476190476191,0.46808777429467086,0.5312365359758725,0.5414201183431953,47.2,MI_TOP_20,mi,20
GBM,0.513095238095238,0.4761774800227484,0.5316815574049298,0.5473372781065089,347.3,MI_TOP_20,mi,20
LGBM,0.5083333333333333,0.43700006004553726,0.5478582280777342,0.5426035502958579,13.2,MI_TOP_20,mi,20
