Model,Scheme,Inner_Accuracy,Inner_F1_macro,Inner_AUC,Test_Accuracy,Test_F1_macro,Test_AUC
GBM,step_50pct_2x,0.5739644970414202,0.5730076850194756,0.5823056111872387,0.5226190476190476,0.4790202165026425,0.5549672328170706
LGBM,step_50pct_3x,0.5798816568047337,0.5789381338386497,0.5792839323987211,0.5214285714285715,0.4635094943948753,0.5532211614775846
XGB,exp_hl100,0.5976331360946746,0.5683755868544601,0.598661326025087,0.5178571428571429,0.5171995873064079,0.5142860382321595
