Set,N,LGBM_CV,XGB_CV,GBM_CV,best_acc
ALL_56,56,0.5106508875739645,0.5201183431952663,0.5047337278106508,0.5201183431952663
CLUSTER_35,35,0.5136094674556213,0.5266272189349113,0.5260355029585799,0.5266272189349113
CLUSTER_POS_10,10,0.5372781065088758,0.5372781065088758,0.504733727810651,0.5372781065088758
PERM_TOP_10,10,0.5159763313609467,0.5059171597633135,0.49704142011834324,0.5159763313609467
PERM_TOP_15,15,0.5177514792899409,0.5295857988165681,0.5177514792899408,0.5295857988165681
PERM_TOP_20,20,0.5142011834319528,0.5218934911242604,0.5159763313609467,0.5218934911242604
PERM_TOP_25,25,0.5189349112426036,0.5224852071005917,0.5224852071005917,0.5224852071005917
