Model,Test_Accuracy,Test_F1_macro,Test_AUC,CV_Acc,Time_s
XGB,0.5333333333333333,0.5028505169581602,0.5445815097848024,0.5467455621301776,13.0
LGBM,0.530952380952381,0.47325867875400274,0.5508231479171863,0.5295857988165681,4.2
GBM,0.5107142857142857,0.4828446241995281,0.5196886550715435,0.5337278106508876,89.2
