Model,Scheme,Inner_Accuracy,Inner_F1_macro,Inner_AUC,Test_Accuracy,Test_F1_macro,Test_AUC
LGBM,uniform,0.591715976331361,0.5913582842724979,0.6008924493166087,0.5238095238095238,0.4742080258389199,0.5547688156194017
GBM,step_50pct_2x,0.5739644970414202,0.5730076850194756,0.5823056111872387,0.5226190476190476,0.4790202165026425,0.5550295925077666
XGB,exp_hl100,0.5976331360946746,0.5683755868544601,0.598661326025087,0.5178571428571429,0.5171995873064079,0.5142860382321595
