date,gdelt_tone,gdelt_goldstein,gdelt_volume,gdelt_events,gdelt_tone_7d,gdelt_tone_30d,gdelt_tone_spike,gdelt_volume_7d,gdelt_goldstein_7d
2015-01-01,2.574782303101664,0.008317135549872,101498.0,9775.0,2.574782303101664,2.574782303101664,0,101498.0,0.008317135549872
2015-01-02,2.2860721299129563,-0.2818488102758475,81500.0,9498.0,2.43042721650731,2.43042721650731,0,91499.0,-0.13676583736298775
2015-01-05,2.265886526283536,-0.0212462235649547,110334.0,13240.0,2.375580319766052,2.375580319766052,0,97777.33333333333,-0.09825929943031007
2015-01-06,2.27121455045176,-0.3044014990080094,125267.0,13609.0,2.349488877437479,2.349488877437479,0,104649.75,-0.1497948493247349
2015-01-07,2.237083589184929,-0.0490556406329759,122343.0,13713.0,2.327007819786969,2.327007819786969,0,108188.4,-0.1296470075863831
2015-01-08,2.314388848657032,-0.0773886902827429,104301.0,12308.0,2.3249046579319796,2.3249046579319796,0,107540.5,-0.1209372880357764
2015-01-09,2.139766421781029,-0.1236286919831224,9231.0,1659.0,2.2984563384818437,2.2984563384818437,0,93496.28571428571,-0.12132177431396869
2015-01-12,2.273372293417414,-0.1456119059785386,139020.0,15656.0,2.255397765669808,2.29532083284879,0,98856.57142857143,-0.1433116373894559
2015-01-13,2.341488114370156,0.1607589447054571,115060.0,13835.0,2.2633143348779794,2.3004505307956085,0,103650.85714285714,-0.0800819581064124
2015-01-14,2.29901786376656,0.0989092960571678,123833.0,15953.0,2.26804738308984,2.300307264092704,0,105579.28571428571,-0.06291688387468063
2015-01-15,2.326873509234817,0.0759225303690121,135527.0,17452.0,2.275998662915991,2.302722377287441,0,107045.0,-0.008584879677963257
2015-01-16,2.1369728039226747,-0.1109469745839246,149740.0,15502.0,2.2616971221642403,2.2889099128403774,0,110958.85714285714,-0.017426498813813075
2015-01-19,2.1623918567369858,-1.0987434777978915,183117.0,18782.0,2.2399832661756625,2.279177754678578,0,122218.28571428571,-0.16333432560169145
2015-01-20,2.2400133225539207,-0.6385233806543531,187446.0,19653.0,2.254304252000361,2.2763802952411027,0,147677.57142857142,-0.23689070969758155
2015-01-21,2.30685699575948,-0.6454306553684437,177136.0,18646.0,2.2590877809063707,2.278412075275661,0,153122.7142857143,-0.3082933881818537
2015-01-22,2.475770732154185,0.1314784985600624,185926.0,20487.0,2.278271012018375,2.2907469913305687,0,163246.42857142858,-0.3124763090597672
2015-01-23,2.772507907523558,0.262199723004919,200445.0,20939.0,2.345912446840803,2.3190858687536857,0,174191.0,-0.28914910521008846
2015-01-26,2.601610379070898,0.1275016215578748,138605.0,16959.0,2.3851605711031003,2.3347816748824197,0,174630.7142857143,-0.2817806636116795
2015-01-27,2.4671414241143004,0.1138695409019268,205547.0,19669.0,2.432327516844761,2.341747977473571,0,182603.14285714287,-0.2496640185422722
2015-01-28,2.151745526846193,-0.7763054006755933,260438.0,24571.0,2.4308066125746484,2.332247854942202,0,193649.0,-0.20360143609622958
2015-01-29,2.244773014604374,-0.4482079026181045,206718.0,20702.0,2.431486568581856,2.3280823863546867,0,196402.14285714287,-0.17641351066247976
2015-01-30,2.2574002231204995,-0.7459227740378511,132024.0,15746.0,2.4244213153477157,2.324869560753133,0,189957.57142857142,-0.1907695276152523
2015-02-02,2.4117094995690755,-0.1072463768115942,130361.0,15525.0,2.4152697106927,2.3286452102668695,0,182019.7142857143,-0.22487308123977462
2015-02-03,2.3480515283947585,-0.247150484907922,181686.0,18354.0,2.3546330851028716,2.3294538068555313,0,179339.85714285713,-0.2976373966558948
2015-02-04,2.318539074001591,-0.3409086463223787,222589.0,20448.0,2.314194327235828,2.3290172175413737,0,191337.57142857142,-0.36455314921021664
2015-02-05,2.3367980302590468,-0.4999944130957036,171281.0,17899.0,2.295573842399363,2.3293164795689765,0,186442.42857142858,-0.4522479997813068
2015-02-06,2.23919465377387,-0.4072846595570139,185049.0,18285.0,2.308066574817602,2.3259786341691577,0,175672.57142857142,-0.3995307510500811
2015-02-09,2.4820439678676323,0.175451968503937,138365.0,15875.0,2.341962425283782,2.3315523960869604,0,165907.85714285713,-0.3104364837469324
2015-02-10,2.663317645021752,0.0502367580662921,164085.0,18162.0,2.3999506284125323,2.3429925770847118,0,170488.0,-0.19669940773205474
2015-02-11,2.5791950654478635,-0.0750291963053402,200254.0,18838.0,2.4238771378237876,2.3508659933634837,0,180472.7142857143,-0.19209695337401847
2015-02-12,2.5174159289258737,0.027879180405087,153513.0,16984.0,2.4480720521853754,2.348953780890957,0,176448.0,-0.15280700118644575
2015-02-13,2.3194822138258706,-0.3515471698113208,120414.0,13250.0,2.448206786445987,2.350067450354721,0,161851.57142857142,-0.15432679025629462
2015-02-16,2.4831700371205123,0.2163204951856946,122595.0,14540.0,2.469117073140482,2.357310234049287,0,154896.42857142858,-0.05199608907323775
2015-02-17,2.455700646719728,0.2619069891754644,123801.0,14966.0,2.500046500704176,2.3634597705915525,0,146146.7142857143,0.04360271788854487
2015-02-18,-2.688522649415136,0.4520683798148046,209870.0,18251.0,1.7613941268066378,2.199272895971551,1,156361.7142857143,0.08311934807581167
2015-02-19,-2.678074188836487,0.4348754246885617,224562.0,17660.0,0.9983381505411749,2.032857461388433,1,165001.2857142857,0.1380677290218502
