date,oil_close,usd_close,sp500_close,vix_close
2015-01-02,56.41999816894531,91.08000183105469,2058.199951171875,17.790000915527344
2015-01-05,53.11000061035156,91.37999725341797,2020.5799560546875,19.920000076293945
2015-01-06,51.099998474121094,91.5,2002.6099853515625,21.1200008392334
2015-01-07,51.150001525878906,91.88999938964844,2025.9000244140625,19.309999465942383
2015-01-08,50.959999084472656,92.37000274658203,2062.139892578125,17.010000228881836
2015-01-09,50.11000061035156,91.94000244140625,2044.81005859375,17.549999237060547
2015-01-12,47.43000030517578,91.9800033569336,2028.260009765625,19.600000381469727
2015-01-13,46.59000015258789,92.30999755859375,2023.030029296875,20.559999465942383
2015-01-14,48.689998626708984,92.16000366210938,2011.27001953125,21.479999542236328
2015-01-15,47.66999816894531,92.3499984741211,1992.6700439453125,22.389999389648438
2015-01-16,47.689998626708984,92.5199966430664,2019.4200439453125,20.950000762939453
2015-01-20,47.9900016784668,93.05000305175781,2022.550048828125,19.889999389648438
2015-01-21,49.029998779296875,92.9000015258789,2032.1199951171875,18.850000381469727
2015-01-22,48.52000045776367,94.23999786376953,2063.14990234375,16.399999618530273
2015-01-23,48.790000915527344,95.0,2051.820068359375,16.65999984741211
2015-01-26,48.15999984741211,94.80000305175781,2057.090087890625,15.520000457763672
2015-01-27,49.599998474121094,94.0199966430664,2029.550048828125,17.219999313354492
2015-01-28,48.470001220703125,94.47000122070312,2002.1600341796875,20.440000534057617
2015-01-29,49.130001068115234,94.77999877929688,2021.25,18.760000228881836
2015-01-30,52.9900016784668,94.80000305175781,1994.989990234375,20.969999313354492
2015-02-02,54.75,94.5,2020.8499755859375,19.43000030517578
2015-02-03,57.90999984741211,93.5999984741211,2050.030029296875,17.329999923706055
2015-02-04,54.15999984741211,93.98999786376953,2041.510009765625,18.329999923706055
2015-02-05,56.56999969482422,94.69999694824219,2062.52001953125,16.850000381469727
2015-02-06,57.79999923706055,94.69999694824219,2055.469970703125,17.290000915527344
2015-02-09,58.34000015258789,94.44999694824219,2046.739990234375,18.549999237060547
2015-02-10,56.43000030517578,94.76000213623047,2068.590087890625,17.229999542236328
2015-02-11,54.65999984741211,94.98999786376953,2068.530029296875,16.959999084472656
2015-02-12,57.04999923706055,94.08999633789062,2088.47998046875,15.34000015258789
2015-02-13,57.38999938964844,94.19999694824219,2096.989990234375,14.6899995803833
2015-02-17,62.529998779296875,94.05999755859375,2100.340087890625,15.800000190734863
2015-02-18,60.529998779296875,94.19999694824219,2099.679931640625,15.449999809265137
2015-02-19,60.209999084472656,94.4000015258789,2097.449951171875,15.289999961853027
2015-02-20,60.220001220703125,94.25,2110.300048828125,14.300000190734863
2015-02-23,58.900001525878906,94.56999969482422,2109.659912109375,14.5600004196167
2015-02-24,58.65999984741211,94.48999786376953,2115.47998046875,13.6899995803833
2015-02-25,61.630001068115234,94.20999908447266,2113.860107421875,13.84000015258789
2015-02-26,60.04999923706055,95.29000091552734,2110.739990234375,13.90999984741211
2015-02-27,62.58000183105469,95.25,2104.5,13.34000015258789
2015-03-02,59.540000915527344,95.45999908447266,2117.389892578125,13.039999961853027
2015-03-03,61.02000045776367,95.37999725341797,2107.780029296875,13.859999656677246
2015-03-04,60.54999923706055,95.97000122070312,2098.530029296875,14.229999542236328
2015-03-05,60.47999954223633,96.37999725341797,2101.0400390625,14.039999961853027
2015-03-06,59.72999954223633,97.62000274658203,2071.260009765625,15.199999809265137
2015-03-09,58.529998779296875,97.58999633789062,2079.429931640625,15.0600004196167
2015-03-10,56.38999938964844,98.62000274658203,2044.1600341796875,16.690000534057617
2015-03-11,57.540000915527344,99.80000305175781,2040.239990234375,16.8700008392334
2015-03-12,57.08000183105469,99.1500015258789,2065.949951171875,15.420000076293945
2015-03-13,54.66999816894531,100.33000183105469,2053.39990234375,16.0
2015-03-16,53.439998626708984,99.5999984741211,2081.18994140625,15.609999656677246
2015-03-17,53.43000030517578,99.58999633789062,2074.280029296875,15.65999984741211
2015-03-18,55.90999984741211,98.55000305175781,2099.5,13.970000267028809
2015-03-19,54.43000030517578,99.0999984741211,2089.27001953125,14.069999694824219
2015-03-20,55.31999969482422,97.91000366210938,2108.10009765625,13.020000457763672
2015-03-23,55.91999816894531,97.02999877929688,2104.419921875,13.40999984741211
2015-03-24,55.11000061035156,97.19000244140625,2091.5,13.619999885559082
2015-03-25,56.47999954223633,96.9800033569336,2061.050048828125,15.4399995803833
2015-03-26,59.189998626708984,97.44000244140625,2056.14990234375,15.800000190734863
2015-03-27,56.40999984741211,97.29000091552734,2061.02001953125,15.069999694824219
2015-03-30,56.290000915527344,97.9800033569336,2086.239990234375,14.510000228881836
2015-03-31,55.11000061035156,98.36000061035156,2067.889892578125,15.289999961853027
2015-04-01,57.099998474121094,98.19000244140625,2059.68994140625,15.109999656677246
2015-04-02,54.95000076293945,97.44000244140625,2066.9599609375,14.670000076293945
2015-04-06,58.119998931884766,97.11000061035156,2080.6201171875,14.739999771118164
2015-04-07,59.099998474121094,97.83000183105469,2076.330078125,14.779999732971191
2015-04-08,55.54999923706055,98.06999969482422,2081.89990234375,13.979999542236328
2015-04-09,56.56999969482422,99.16000366210938,2091.179931640625,13.09000015258789
2015-04-10,57.869998931884766,99.38999938964844,2102.06005859375,12.579999923706055
2015-04-13,57.93000030517578,99.48999786376953,2092.429931640625,13.9399995803833
2015-04-14,58.43000030517578,98.76000213623047,2095.840087890625,13.670000076293945
2015-04-15,60.31999969482422,98.33000183105469,2106.6298828125,12.84000015258789
2015-04-16,60.400001525878906,97.41999816894531,2104.989990234375,12.600000381469727
2015-04-17,63.45000076293945,97.5199966430664,2081.179931640625,13.890000343322754
