Model,Scheme,Test_Accuracy,Test_F1_macro,Test_AUC
GBM,step_50pct_2x,0.5226190476190476,0.4790202165026425,0.5549672328170706
LGBM,step_50pct_3x,0.5214285714285715,0.4635094943948753,0.5532211614775846
XGB,exp_hl100,0.5178571428571429,0.5171995873064079,0.5142860382321595
