Model,Accuracy,F1_macro,AUC,Time_s
XGB_cls_v2,0.530952380952381,0.523650515843773,0.5633602802784644,16.9
GBM_cls_v2,0.5238095238095238,0.5222495222495223,0.5615433456540965,58.8
LGBM_cls_v2,0.5107142857142857,0.5104638285744265,0.5532721830426994,62.6
SVM_RBF_v2,0.5059523809523809,0.49684699443298586,0.5292126805596499,5.9
