Model,Val_Accuracy,Val_F1_macro,Val_AUC,CV_Acc,Time_s,Final_Test_Accuracy,Final_Test_F1_macro,Final_Test_AUC
GBM,0.55,0.5416949152542372,0.5719105113636364,0.5220338983050847,1188.0,0.5428571428571428,0.5390841125768765,0.5502449035125513
XGB,0.5384615384615384,0.530431641683222,0.5986624053030303,0.5240677966101696,168.9,,,
LGBM,0.5153846153846153,0.477511961722488,0.5359256628787878,0.5240677966101694,41.6,,,
