feature,MI_reg,MI_cls,abs_sp,MI_reg_n,MI_cls_n,abs_sp_n,score
sp500_return,0.11794549809491173,0.04484103440675957,0.26113479958460994,0.6857743599197631,1.0,1.0,0.8952581199732544
vix_return,0.09725712115172414,0.042488880873915225,0.2330671202328852,0.5654852544841626,0.9475446192541497,0.892516511026595,0.8018487949216357
usd_return,0.06960138139086869,0.027772367063049863,0.12150032866062456,0.4046855839673073,0.6193516146644313,0.4652781967546895,0.4964384651288094
oil_volatility_7d,0.17198878375784066,0.006522572365742274,0.0038167906629699463,1.0,0.14545989966634282,0.014616170150594092,0.3866920232723123
gdelt_tone_30d,0.009097517294019752,0.015680351562948225,0.05054383293401056,0.05289599179228461,0.3496875522698577,0.1935545665089877,0.19871270352370998
gdelt_tone_lag1,0.0,0.014537654396470145,0.06541753692907629,0.0,0.3242042604235433,0.2505125208633116,0.19157226042895162
vix_lag1,0.03158423098440366,0.013373748891237103,0.017671084995989305,0.18364122528405166,0.2982480013712858,0.06767035655186095,0.18318652773573282
inventory_zscore,0.025176311574389487,0.013820741561816341,0.016009928271707767,0.14638345027102237,0.30821638583192296,0.06130905684410864,0.1719696309823513
fed_funds_rate_lag,0.02638577589218194,0.0070792118525537795,0.052817491482662536,0.153415678137087,0.15787351799999114,0.20226140509300145,0.1711835337433599
month,0.00931319701306288,0.01247142356234221,0.025156987426018563,0.05415002542361026,0.2781252423664473,0.09633716940842839,0.1428708123994953
gdelt_volume_7d,0.005649985507133692,0.008165064070878358,0.0534429659713453,0.03285089517865795,0.18208911054129281,0.2046566220065561,0.1398655425755023
real_rate,0.03877927775060552,0.002624225696861604,0.028400911592080094,0.22547562058004056,0.058522862631956024,0.10875958178403546,0.13091935499867735
unemployment_lag,0.03480473108912285,0.0012527077045314527,0.03887546070927431,0.20236628417657596,0.027936637080401807,0.14887123727329313,0.12639138617675696
cpi_yoy,0.054962424382989816,0.0,0.007453488169605699,0.31956981834569304,0.0,0.02854268439695531,0.11603750091421611
fed_rate_change,0.005436777523793124,0.005762092064935942,0.04782857563125363,0.03161123304091783,0.12850042692296443,0.18315665207140175,0.114422770678428
fed_rate_regime,0.036901936727110396,0.0011379405618923144,0.026712059655486394,0.2145601353810847,0.02537721479772053,0.10229222492742279,0.11407652503540934
cpi_lag,0.030519286187062455,0.0,0.035764533360422096,0.17744928198360574,0.0,0.13695812820548292,0.10480247006302956
gdelt_tone_7d,0.020135292119563886,0.0,0.051525394714472206,0.11707328629007735,0.0,0.19731339827718952,0.1047955615224223
conflict_event_count,0.013495958775374461,0.010466328788393042,0.0002062935216666099,0.07846999368503416,0.23340961971241442,0.0007899886265436981,0.1042232006746641
net_imports_weekly,0.03522392426119225,0.0,0.02676246931999275,0.2048036127215561,0.0,0.1024852657040123,0.10242962614185613
gdelt_goldstein,0.0,0.005350052842104436,0.04544375619911674,0.0,0.1193115393720253,0.1740241295737092,0.09777855631524483
day_of_week,0.011152810185360185,0.003039631672279608,0.04172519744901518,0.06484614834571588,0.06778683213921127,0.15978413262187927,0.09747237103560213
oil_return_lag2,0.00936370265558395,0.0034747850596326124,0.03403019417407055,0.05444368202968396,0.07749118872041019,0.13031658066333082,0.08741715047114167
gdelt_goldstein_7d,0.0,0.003213366827838904,0.04936484744136781,0.0,0.0716613001986079,0.1890397125158846,0.08690033757149751
geopolitical_stress_index,0.0,0.0012972909294814983,0.05920413741699834,0.0,0.028930887671180436,0.22671868135221743,0.08521652300779929
fatalities,0.01950881807877547,0.0,0.03247738486605526,0.11343075782339264,0.0,0.12437019086585703,0.07926698289641655
inventory_change_pct,0.006102202902674492,0.0,0.05199275214777567,0.03548023754424802,0.0,0.1991031154426033,0.07819445099561712
crude_production_weekly,0.0373647540306461,0.0,4.9054094680542945e-06,0.21725110913776496,0.0,1.878497035193082e-05,0.07242329803603896
gdelt_tone,0.004661564933036821,0.0,0.04887663963890313,0.027103889167565027,0.0,0.18717015011653657,0.0714246797613672
net_imports_change_pct,0.008714604447487506,0.0,0.028975856110628154,0.05066960912845122,0.0,0.11096129721783682,0.05387696878209602
gdelt_volume_log,0.0014781362595917003,0.0006350642528332173,0.035081437763810196,0.008594375908099383,0.014162569201068306,0.13434225472673358,0.05236639994530042
gdelt_events,0.0,0.0,0.03973695732612954,0.0,0.0,0.15217028672294755,0.050723428907649186
production_change_pct,0.0,0.0,0.036800880237379444,0.0,0.0,0.14092675620376532,0.046975585401255106
gdelt_volume_lag1,0.0,0.0,0.034933696776503834,0.0,0.0,0.13377648950684956,0.04459216316894985
fatalities_7d,0.011230339511255849,0.002076832388276717,0.0017887548028566753,0.06529692963622623,0.046315443337846915,0.006849928870843977,0.03948743394830571
recession_signal,0.006273787466008818,0.0016594677788606127,0.00684974628317786,0.03647788727224375,0.03700779432979485,0.02623069117587479,0.03323879092597113
oil_return_lag1,0.0,0.0,0.024126306151618582,0.0,0.0,0.09239023749418526,0.03079674583139509
gdelt_tone_spike,0.0,0.002442366749197511,0.005967726937755628,0.0,0.05446722586821806,0.0228530511722243,0.025773425680147455
yield_spread,0.0,0.0028457517120150655,0.0007311458234085456,0.0,0.06346311474888906,0.002799878930619693,0.022087664559836254
conflict_intensity_7d,0.0012905839326160518,0.0,0.014323572582160972,0.007503884290694139,0.0,0.05485125921533874,0.02078504783534429
crude_inventory_weekly,0.005818350991938281,0.0,0.0013722255224612632,0.03382982811327098,0.0,0.0052548550581694884,0.01302822772381349
media_attention_spike,0.0,0.0,0.007604963405079912,0.0,0.0,0.02912274969547227,0.00970758323182409
