Model,Scheme,Val_Accuracy,Val_F1_macro,Val_AUC,Holdout_Accuracy,Holdout_F1_macro,Holdout_AUC
LGBM,step_50pct_3x,0.6,0.5980736072299186,0.5717921401515151,0.5285714285714286,0.48964061272584447,0.5250856028481372
XGB,linear_01,0.5923076923076923,0.5923076923076923,0.5800189393939394,0.5095238095238095,0.4824863623313236,0.5212703235901042
GBM,step_50pct_3x,0.5692307692307692,0.5690012432656444,0.5726207386363636,0.5023809523809524,0.5004666408686349,0.5049717680673032
