Model,Val_Accuracy,Val_F1_macro,Val_AUC,CV_Acc,Time_s,Selected_Case,Ranking,N_Features,Final_Test_Accuracy,Final_Test_F1_macro,Final_Test_AUC
GBM,0.5461538461538461,0.5448341344727317,0.5490648674242424,0.52,830.3,MI_TOP_60,mi,60,0.5178571428571429,0.4860398326683477,0.50998321957414
XGB,0.5423076923076923,0.5268462020767384,0.5353338068181819,0.5301694915254238,131.4,MI_TOP_60,mi,60,,,
LGBM,0.5307692307692308,0.5300740740740741,0.5539772727272728,0.5227118644067796,28.6,MI_TOP_60,mi,60,,,
