Model,Accuracy,F1_macro,AUC,CV_Acc,Time_s
XGB,0.5619047619047619,0.5590148592819155,0.5991122247670015,0.5970414201183432,104.2
LGBM,0.5583333333333333,0.5569462788122111,0.5721671693235675,0.6112426035502959,13.9
GBM,0.5285714285714286,0.5280470363896392,0.5670253293725481,0.6029585798816568,377.8
