Set,N,LGBM_Val,XGB_Val,GBM_Val,best_acc
ALL_82,82,0.5423076923076923,0.5653846153846154,0.5923076923076923,0.5923076923076923
CLUSTER_43,43,0.5692307692307692,0.5923076923076923,0.5307692307692308,0.5923076923076923
CLUSTER_POS_21,21,0.55,0.5461538461538461,0.5,0.55
PERM_TOP_10,10,0.49615384615384617,0.5115384615384615,0.5076923076923077,0.5115384615384615
PERM_TOP_15,15,0.5346153846153846,0.5307692307692308,0.5038461538461538,0.5346153846153846
PERM_TOP_20,20,0.5615384615384615,0.5384615384615384,0.49615384615384617,0.5615384615384615
PERM_TOP_25,25,0.5307692307692308,0.5423076923076923,0.5307692307692308,0.5423076923076923
