Model,Accuracy,F1_binary,F1_macro,AUC,Precision_UP,Recall_UP,TP,FP,TN,FN,Time_s
GradientBoosting,0.5047619047619047,0.38643067846607676,0.48563050889371706,0.5154765414181728,0.5038461538461538,0.3133971291866029,131,129,293,287,946.3
XGBoost,0.5190476190476191,0.3377049180327869,0.4800674122874215,0.5403467198802694,0.5364583333333334,0.24641148325358853,103,89,333,315,333.6
LightGBM,0.5107142857142857,0.3444976076555024,0.477092108671056,0.5395813964035465,0.5167464114832536,0.2583732057416268,108,101,321,310,66.7
SVM_RBF,0.4773809523809524,0.5284640171858216,0.471174598713071,0.4770119503843625,0.47953216374269003,0.5885167464114832,246,267,155,172,42.7
SVM_Linear,0.4988095238095238,0.5978987583572111,0.466405935260754,0.5101646295834372,0.49761526232114467,0.7488038277511961,313,316,106,105,81.1
RandomForest,0.5107142857142857,0.26998223801065724,0.45101618614946476,0.5375518719245335,0.5241379310344828,0.18181818181818182,76,69,353,342,178.2
MLP,0.5047619047619047,0.25448028673835127,0.4418568991624021,0.5068822422277149,0.5071428571428571,0.16985645933014354,71,69,353,347,6219.6
LogisticRegression,0.49404761904761907,0.6181491464510332,0.4342950317793085,0.5067631919091136,0.4949640287769784,0.8229665071770335,344,351,71,74,37.0
