date,oil_return_fwd1,oil_return_fwd1_date,yield_spread,inventory_change_pct,gdelt_goldstein,gdelt_tone_7d,gdelt_tone_30d,gdelt_goldstein_7d,oil_return,usd_return,sp500_return,inventory_zscore,oil_return_lag1,oil_return_lag2,gdelt_tone_lag1,day_of_week_sin,day_of_week_cos,month_sin,month_cos,gdelt_events_log1p,conflict_event_count_log1p,conflict_intensity_7d_log1p,fatalities_log1p,fatalities_7d_log1p,gdelt_volume_lag1_log1p,vix_lag1_log1p,net_imports_change_pct_slog1p,production_change_pct_slog1p,vix_return_slog1p
2015-01-07,-0.0037146126244027,2015-01-08,1.3682853091970566,-0.4479474813213259,-0.32053820609818184,3.3686288530924915,3.226032834340045,-0.6241547539400402,0.02458861957176128,0.9791342284279394,1.2512271510000277,0.0667768379866699,-1.6692083666742845,-2.581169639280721,3.310442336338119,0.5877852522924731,-0.8090169943749475,0.0,1.0,-0.00021714864665533457,-4.4385565068603725,-6.9024837955564475,-0.5292262402784057,-2.0714810576330778,-0.17054694675234658,0.5505050017828605,0.09393325691195697,0.0,-1.038080419298938
2015-01-08,-0.0166797191795885,2015-01-09,1.4798838597880741,-0.4479474813213259,-0.37148451167574165,3.370141864694219,3.2269229973670677,-0.5874492672203914,-0.18021686015785432,1.201921555719775,1.9438194189139155,0.0667768379866699,0.024804078296537798,-1.6714030962553679,3.3037969200907953,-0.5877852522924729,-0.8090169943749477,0.0,1.0,-0.16118015902948724,-4.601306805720936,-6.613734014163684,-2.7091468331192337,-2.0538743947846827,-0.19504511919352946,0.34743578440195605,0.09393325691195697,0.0,-1.4420672250873012
2015-01-09,-0.0534823442932098,2015-01-12,1.447998559619212,0.8163850645565335,-0.4546297179156139,3.3666808593771234,3.224885742540845,-0.5792832119553085,-0.7460046904544495,-1.0873655552715642,-0.9658042790110338,1.6675931308792347,-0.17996962824882007,0.025016239890400836,3.3187744887222674,-0.9510565162951538,0.3090169943749473,0.0,1.0,-3.1448227026114153,-4.601306805720936,-6.358597041497014,-2.7091468331192337,-2.0366198889104337,-0.36173397298089316,0.0615456896962422,0.05287951264622628,1.0250488882575144,0.4745458135036936
2015-01-12,-0.0177103130335891,2015-01-13,1.400170609365919,0.8163850645565335,-0.4941582385525224,3.367142343618002,3.2251575943054744,-0.5800942888792564,-2.3520445115407007,0.09223224970776756,-0.9314840886176547,1.1987248941249267,-0.7456696831548031,-0.18004841376612393,3.2845561001643326,0.0,1.0,0.0,1.0,0.1971038970081831,-2.3672164090360686,-5.559859906135661,-1.424931881558432,-1.9097574147153789,-3.194235050488701,0.1318194103621195,0.05287951264622628,1.0250488882575144,1.5305644953471844
2015-01-13,0.0450740173265364,2015-01-14,1.41611325945035,0.8163850645565335,0.056734205852316213,3.36836004790076,3.226131780804528,-0.4463252133413103,-0.7909790574671739,0.8228017692266975,-0.3211502692041393,0.991008555611337,-2.351460345872694,-0.7465522280977607,3.310860706822601,0.9510565162951536,0.3090169943749475,0.0,1.0,0.012972270403370192,-4.601306805720936,-5.398555700813546,-2.081848367368407,-1.8666135981499343,-0.06303766485691678,0.381160768032737,0.05287951264622628,1.0250488882575144,0.6953562906572027
2015-01-14,-0.0209488701280049,2015-01-15,1.384227959281488,0.8163850645565335,-0.05447906412218399,3.369086819880947,3.226461458929801,-0.4100106829252949,1.9488835036215877,-0.3851364072116765,-0.679098702963126,0.8671849844329507,-0.7906370729184232,-2.3546244344881204,3.3239628742460385,0.5877852522924731,-0.8090169943749475,0.0,1.0,0.22508827089005984,-7.349559949130548,-6.305713963811222,-3.522506379219791,-2.098583701280184,-0.2589182090437549,0.48950851280647745,0.05287951264622628,1.0250488882575144,0.6414645159012738
2015-01-15,0.0004195606992218,2015-01-16,1.3523426591126255,0.8163850645565335,-0.09581209404535636,3.3703056588822973,3.226975891729274,-0.29506558031004637,-0.9323073361004306,0.46915032515334987,-1.0592130206783643,0.7826836480660727,1.9488004304125615,-0.7915835085452444,3.3158174376204,-0.5877852522924729,-0.8090169943749477,0.0,1.0,0.3588218534893739,-4.982343540094479,-6.358597041497014,-2.1959740951330167,-2.1554854115785504,-0.18248347304778093,0.5889066696894736,0.05287951264622628,1.0250488882575144,0.6110371717489259
2015-01-16,0.0,2015-01-19,1.3682853091970566,1.4298015331156972,-0.4318264313702455,3.3681115061291464,3.2258390823348218,-0.3137709609393993,0.00019546000992614156,0.41798945889149125,1.4498002776109296,1.9215093328629058,-0.931943426115682,1.9517462495154265,3.32116871761569,-0.9510565162951538,0.3090169943749473,0.0,1.0,0.18238377504837874,-4.982343540094479,-6.440390665220704,-2.1959740951330167,-2.902941996426772,-0.08921952892042939,0.6833006189527517,0.08404097045409288,-0.10213664690824309,-0.7728881809705443
2015-01-19,0.0062906911385356,2015-01-20,1.3682853091970566,1.4298015331156972,-0.4318264313702455,3.3642019682029862,3.2248879013154452,-0.32391326101680834,-0.018113864073143283,-0.008590493883226946,-0.035793534648834315,1.488836916735108,0.00041470304923569825,-0.9330906330033543,3.2839972064092002,0.0,1.0,0.0,1.0,0.18238377504837874,-4.982343540094479,-6.496664044104392,-2.1959740951330167,-2.835684844703621,0.013094673304225793,0.5321530277539325,0.08404097045409288,-0.10213664690824309,0.05796061211997062
2015-01-20,0.0216711203262309,2015-01-21,1.2885720587749012,1.4298015331156972,-1.380473651892653,3.366414333870522,3.224801197437635,-0.47952957303976057,0.2564073267237394,1.3189219582498044,0.13573249696287898,1.2634593543118664,-0.017891780555500364,0.0005922116674258229,3.2839972064092002,0.9510565162951536,0.3090169943749475,0.0,1.0,0.5356937765411328,-4.4385565068603725,-6.46834698632739,-1.7472203836075981,-2.6783966693222245,0.013094673304225793,0.5321530277539325,0.08404097045409288,-0.10213664690824309,-0.5999691619561615
2015-01-21,-0.0104017608450065,2015-01-22,1.3682853091970566,1.4298015331156972,-1.3928937807754294,3.367151385739941,3.2251602572722824,-0.630589493002627,0.9275980818553189,-0.3821608238528673,0.48783331881747105,1.119640188723156,0.2565868214767196,-0.0177402822030337,3.304369404003803,0.5877852522924731,-0.8090169943749475,0.0,1.0,0.45736811757637774,-4.7812189142346195,-7.444228488412201,-2.081848367368407,-2.8799353920628468,0.24064261396956105,0.4144140668180123,0.08404097045409288,-0.10213664690824309,-0.6214044364878089
