Target,Model,Val_Accuracy,Val_F1_macro,Val_AUC,CV_Acc,Test_Accuracy,Test_F1_macro,Test_AUC,Params
1d_t05,GBM,0.5627906976744186,0.5627055565172234,0.5977766106442577,0.530841121495327,0.48776508972267535,0.4314013943046201,0.5269989948889032,"{'n_estimators': 300, 'min_samples_leaf': 5, 'max_depth': 5, 'learning_rate': 0.05}"
1d_t03,LGBM,0.5594713656387665,0.5584344849050731,0.588,0.5236514522821577,0.49273255813953487,0.4625661686531252,0.5413519813519814,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05}"
1d_raw,XGB,0.55,0.5179921091410372,0.5479995265151515,0.5369491525423729,0.5047619047619047,0.4599373141525356,0.530023356538697,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.01}"
