Set,N,LGBM_Val,XGB_Val,GBM_Val,best_acc
ALL_56,56,0.5884615384615385,0.5615384615384615,0.5346153846153846,0.5884615384615385
CLUSTER_35,35,0.5423076923076923,0.5115384615384615,0.5461538461538461,0.5461538461538461
CLUSTER_POS_23,23,0.6,0.5692307692307692,0.5461538461538461,0.6
PERM_TOP_10,10,0.5615384615384615,0.5576923076923077,0.6038461538461538,0.6038461538461538
PERM_TOP_15,15,0.5423076923076923,0.5384615384615384,0.5230769230769231,0.5423076923076923
PERM_TOP_20,20,0.5615384615384615,0.5307692307692308,0.5230769230769231,0.5615384615384615
PERM_TOP_25,25,0.5961538461538461,0.5461538461538461,0.5307692307692308,0.5961538461538461
