Model,Val_Accuracy,Val_F1_macro,Val_AUC,CV_Acc,Time_s,Final_Test_Accuracy,Final_Test_F1_macro,Final_Test_AUC
LGBM,0.5923076923076923,0.5914373814041745,0.5957623106060607,0.5206779661016949,9.0,0.5023809523809524,0.4923634765410395,0.5087983854509173
XGB,0.5846153846153846,0.5644080416976918,0.5684777462121213,0.5247457627118645,26.4,,,
GBM,0.5576923076923077,0.552120313365988,0.5859966856060606,0.5199999999999999,183.5,,,
