Model,Accuracy,F1_binary,F1_macro,AUC,Precision_UP,Recall_UP,TP,FP,TN,FN,CV_Acc,Time_s,Selected_Case,Ranking,N_Features
GBM,0.5202380952380953,0.4866242038216561,0.5181724371063589,0.536831900950135,0.5204359673024523,0.4569377990430622,191,176,246,227,0.5396449704142012,217.7,MI_TOP_70,mi,70
LGBM,0.5190476190476191,0.3441558441558441,0.4822282980177716,0.5435780856708768,0.5353535353535354,0.2535885167464115,106,92,330,312,0.5526627218934911,177.6,MI_TOP_70,mi,70
XGB,0.5035714285714286,0.3574730354391371,0.47650567387863746,0.528121385972471,0.5021645021645021,0.27751196172248804,116,115,307,302,0.5449704142011834,34.3,MI_TOP_70,mi,70
