feature,perm_mean,perm_std
fatalities_7d,0.014201183431952624,0.004733727810650912
ret_mean_20,0.011242603550295804,0.0022139984537124027
sp500_return_lag1,0.01065088757396444,0.004013213007766451
bb_upper,0.010059171597633077,0.00144940221466461
conflict_intensity_7d,0.008284023668638984,0.0022139984537124027
oil_return,0.007692307692307665,0.013570822415597277
ma_20,0.007100591715976256,0.00144940221466461
gdelt_volume_lag1,0.006508875739644937,0.007805269797794629
wti_fred,0.006508875739644893,0.0011834319526627278
yield_spread,0.005325443786982231,0.004348206643993778
usd_return,0.004733727810650868,0.006372976103117739
sp500_return,0.004733727810650868,0.008696413287987615
usd_close,0.004733727810650868,0.002366863905325406
net_imports_weekly,0.004733727810650868,0.004013213007766405
macd_signal,0.004733727810650845,0.0030171713098181836
gdelt_tone_30d,0.004142011834319503,0.0030171713098181836
conflict_event_count,0.004142011834319503,0.0030171713098181836
fatalities,0.004142011834319503,0.009650595520887628
ret_mean_5,0.004142011834319481,0.003550295857988132
ma_50,0.00295857988165682,0.0
net_imports_change_pct,0.0029585798816567756,0.0026462342928991233
momentum_5,0.0029585798816567756,0.004950651044580314
ma_5,0.002366863905325456,0.001183431952662728
inventory_zscore,0.002366863905325434,0.002213998453712367
vix_return_lag1,0.002366863905325434,0.005090133294108048
unemployment_lag,0.002366863905325434,0.002213998453712367
sp500_close,0.0023668639053254113,0.003450267393399558
oil_return_lag1,0.0023668639053254113,0.013927339995195076
vix_close,0.0017751479289940697,0.003017171309818201
rsi_14,0.000591715976331364,0.0022139984537124027
oil_return_lag2,0.0005917159763313195,0.009430400858289485
oil_return_lag3,0.0005917159763313195,0.008026426015532858
gdelt_vol_momentum,0.0005917159763313195,0.0047337278106508625
gdelt_volume,0.0,0.0
ma_10_20_cross,0.0,0.0
ma_20_50_cross,0.0,0.0
gdelt_data_imputed,0.0,0.0
crude_production_weekly,0.0,0.0
macd_cross,0.0,0.0
bb_lower,0.0,0.0
cpi_lag,0.0,0.0
fed_funds_rate_lag,0.0,0.0
crude_inventory_weekly,0.0,0.0
ma_10,0.0,0.0
gdelt_tone_spike,0.0,0.0
fed_rate_change,0.0,0.0
real_rate,0.0,0.0
gdelt_volume_log,0.0,0.0
fed_rate_regime,0.0,0.0
media_attention_spike,0.0,0.0
cpi_yoy,0.0,0.0
recession_signal,0.0,0.0
stress_volume,0.0,0.0
gdelt_goldstein_7d,-0.000591715976331364,0.00289880442932922
day_of_week,-0.0005917159763313862,0.00509013329410806
oil_volatility_7d,-0.0005917159763313862,0.005090133294108048
gdelt_tone_7d,-0.00118343195266275,0.004013213007766412
month,-0.0017751479289940919,0.00144940221466461
bb_width,-0.0017751479289940919,0.002366863905325456
gdelt_volume_7d,-0.0017751479289940919,0.004013213007766451
vix_lag1,-0.002366863905325456,0.001183431952662728
production_change_pct,-0.00295857988165682,0.004950651044580354
gdelt_events,-0.00295857988165682,0.002646234292899173
momentum_20,-0.0035502958579881837,0.001183431952662728
geopolitical_stress_index,-0.0035502958579881837,0.003924999751899902
stress_tone,-0.0035502958579881837,0.0034502673933996036
gdelt_tone_lag1,-0.0035502958579881837,0.00434820664399383
ma_5_10_cross,-0.0035502958579881837,0.001183431952662728
price_vs_ma20,-0.003550295857988206,0.00734300215739104
inventory_change_pct,-0.003550295857988206,0.007805269797794632
macd_hist,-0.004142011834319548,0.0054873482221868344
vix_return,-0.00414201183431957,0.006900534786799175
ret_std_5,-0.00414201183431957,0.008069929998216496
momentum_10,-0.004733727810650889,0.007149731345322228
macd,-0.004733727810650912,0.004013213007766452
stress_goldstein,-0.005325443786982275,0.0034502673933996036
gdelt_tone,-0.007692307692307732,0.0030171713098182313
bb_position,-0.008284023668639073,0.006589070251869841
oil_return_lag5,-0.00887573964497046,0.006205969515799745
gdelt_goldstein,-0.009467455621301801,0.009794642223222958
price_vs_ma50,-0.01065088757396453,0.0048071233163526315
ret_std_20,-0.012426035502958644,0.0022139984537124027
