Set,N,LGBM_CV,XGB_CV,GBM_CV,best_acc
ALL_82,82,0.5272189349112425,0.5295857988165681,0.5284023668639054,0.5295857988165681
CLUSTER_41,41,0.5177514792899409,0.5159763313609467,0.506508875739645,0.5177514792899409
CLUSTER_POS_22,22,0.508284023668639,0.5153846153846154,0.5242603550295859,0.5242603550295859
PERM_TOP_10,10,0.5071005917159763,0.5289940828402367,0.51301775147929,0.5289940828402367
PERM_TOP_15,15,0.49704142011834324,0.531360946745562,0.5112426035502959,0.531360946745562
PERM_TOP_20,20,0.5076923076923077,0.5159763313609468,0.5171597633136095,0.5171597633136095
PERM_TOP_25,25,0.5207100591715976,0.5106508875739644,0.5106508875739645,0.5207100591715976
