Model,Scheme,Accuracy,F1_binary,F1_macro,AUC,Precision_UP,Recall_UP,TP,FP,TN,FN
GBM,exp_hl1000,0.5285714285714286,0.5657894736842105,0.5250822368421053,0.5283849973922311,0.5222672064777328,0.6172248803827751,258,236,186,160
XGB,step_30pct_3x,0.5154761904761904,0.40756914119359533,0.49885002880424983,0.5219789564389214,0.5204460966542751,0.3349282296650718,140,129,293,278
LGBM,linear_05,0.4988095238095238,0.33700787401574805,0.4670685303093095,0.5247397900179142,0.4930875576036866,0.25598086124401914,107,110,312,311
