Model,Accuracy,F1_binary,F1_macro,AUC,Precision_UP,Recall_UP,TP,FP,TN,FN,CV_Acc,Time_s
XGB,0.5083333333333333,0.4601307189542484,0.5043822993678346,0.5057314224812354,0.5072046109510087,0.42105263157894735,176,171,251,242,0.5272189349112426,8.1
GBM,0.48928571428571427,0.499416569428238,0.4890764499632077,0.4898467085421438,0.4874715261958998,0.5119617224880383,214,225,197,204,0.523076923076923,59.4
LGBM,0.4869047619047619,0.5268935236004391,0.4832126915791532,0.48753373092360375,0.486815415821501,0.5741626794258373,240,253,169,178,0.5165680473372782,2.0
